method,p,scale,k,slope,slope_se
calibrated,0.5,sqrt,6,0.6729035409888726,1.9670960424975117
calibrated,0.9,sqrt,6,3.933280074334641,1.2671392688394307
cornish_fisher,0.5,sqrt,6,0.2958245585678124,0.6487633594748264
cornish_fisher,0.9,sqrt,6,0.1156662229827684,0.03879907999523478
gaussian,0.5,sqrt,6,0.37385141292856866,0.617475323268811
gaussian,0.9,sqrt,6,0.08500969322662139,0.06287339155584815
calibrated,0.5,linear,6,1.1729035409888724,1.967096042497512
calibrated,0.9,linear,6,4.433280074334642,1.2671392688394307
cornish_fisher,0.5,linear,6,0.7958245585678133,0.6487633594748263
cornish_fisher,0.9,linear,6,0.6156662229827669,0.03879907999523478
gaussian,0.5,linear,6,0.8738514129285697,0.6174753232688112
gaussian,0.9,linear,6,0.5850096932266216,0.06287339155584815
