p,method,coverage,coverage_error,mcse,gamma_mean
0.2,gaussian,0.9197,0.030299999999999994,0.0015689902272905763,-0.48419812261599376
0.2,cornish_fisher,0.8968666666666667,0.053133333333333255,0.0017559123828643317,-0.48419812261599376
0.2,calibrated,0.9470333333333333,0.002966666666666673,0.0012930738428113702,-0.48419812261599376
0.225,gaussian,0.9326666666666666,0.01733333333333331,0.001446830507875238,-0.4362062500343033
0.225,cornish_fisher,0.9111,0.038899999999999935,0.0016431351131297753,-0.4362062500343033
0.225,calibrated,0.9524,0.0024000000000000687,0.001229284886970198,-0.4362062500343033
0.25,gaussian,0.9348666666666666,0.015133333333333332,0.001424675193652016,-0.34775528454075416
0.25,cornish_fisher,0.9193666666666667,0.03063333333333329,0.0015719584270254402,-0.34775528454075416
0.25,calibrated,0.9489666666666666,0.0010333333333333306,0.0012705501724610258,-0.34775528454075416
0.27,gaussian,0.9398,0.010199999999999987,0.0013732681214290727,-0.35338419411738736
0.27,cornish_fisher,0.9227333333333333,0.02726666666666666,0.001541606617449135,-0.35338419411738736
0.27,calibrated,0.9538666666666666,0.003866666666666685,0.0012111296226923706,-0.35338419411738736
0.295,gaussian,0.9415333333333333,0.008466666666666622,0.0013546009935962147,-0.30880919694371356
0.295,cornish_fisher,0.9293666666666667,0.02063333333333328,0.0014792370280604745,-0.30880919694371356
0.295,calibrated,0.9521333333333334,0.0021333333333334314,0.001232550862897604,-0.30880919694371356
0.32,gaussian,0.9478333333333333,0.00216666666666665,0.0012838134022714722,-0.1844405979451317
0.32,cornish_fisher,0.9413666666666667,0.00863333333333327,0.0013564102815342603,-0.1844405979451317
0.32,calibrated,0.9498,0.00019999999999997797,0.0012606871142357252,-0.1844405979451317
0.345,gaussian,0.9444333333333333,0.005566666666666609,0.0013226112079547062,-0.20971649932316777
0.345,cornish_fisher,0.9385333333333333,0.011466666666666625,0.0013867049140024413,-0.20971649932316777
0.345,calibrated,0.9499,9.999999999998899e-05,0.0012594971218704714,-0.20971649932316777
0.37,gaussian,0.9521,0.0020999999999999908,0.0012329583664233497,-0.16419777715902298
