run_id,config,base_seed,outputs_path,plots_path,logs_path,notes
run_approved_seed20260222_hash8d9efc1b,configs/approved.toml,20260222,outputs/cluster/run_approved_seed20260222_hash8d9efc1b,plots/cluster/run_approved_seed20260222_hash8d9efc1b,logs/run_approved_seed20260222_hash8d9efc1b,completed
run_approved_seed20260222_hash8d9efc1b_v2,configs/approved.toml,20260222,outputs/cluster/run_approved_seed20260222_hash8d9efc1b_v2,plots/cluster/run_approved_seed20260222_hash8d9efc1b_v2,logs/run_approved_seed20260222_hash8d9efc1b_v2,completed
run_cluster_violation_strong_seed20260222,configs/cluster_violation_strong.toml,20260222,outputs/cluster/run_cluster_violation_strong_seed20260222,plots/cluster/run_cluster_violation_strong_seed20260222,logs/run_cluster_violation_strong_seed20260222,completed
run_cluster_violation_strongest_seed20260222,configs/cluster_violation_strongest.toml,20260222,outputs/cluster/run_cluster_violation_strongest_seed20260222,plots/cluster/run_cluster_violation_strongest_seed20260222,logs/run_cluster_violation_strongest_seed20260222,completed
run_objective_bayes_stage0_seed20260222,configs/objective_bayes_stage0.toml,20260222,outputs/cluster/run_objective_bayes_stage0_seed20260222,plots/cluster/run_objective_bayes_stage0_seed20260222,logs/run_objective_bayes_stage0_seed20260222,completed
run_objective_bayes_stage0_B50_R500_S500_seed20260222,configs/objective_bayes_stage0.toml,20260222,outputs/cluster/run_objective_bayes_stage0_B50_R500_S500_seed20260222,plots/cluster/run_objective_bayes_stage0_B50_R500_S500_seed20260222,logs/run_objective_bayes_stage0_B50_R500_S500_seed20260222,completed
run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,configs/objective_bayes_stage0.toml,20260222,outputs/cluster/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,plots/cluster/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,logs/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,completed
run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,configs/objective_bayes_stage0.toml,20260222,outputs/cluster/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,plots/cluster/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,logs/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,completed
run_objective_bayes_stage1_B30_R200_S2000_seed20260222,configs/objective_bayes_stage1.toml,20260222,outputs/cluster/run_objective_bayes_stage1_B30_R200_S2000_seed20260222,plots/cluster/run_objective_bayes_stage1_B30_R200_S2000_seed20260222,logs/run_objective_bayes_stage1_B30_R200_S2000_seed20260222,completed
run_objective_bayes_stage2_B30_R200_S2000_seed20260222,configs/objective_bayes_stage2.toml,20260222,outputs/cluster/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,plots/cluster/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,logs/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,completed
run_objective_bayes_stage2_B30_R200_S2000_seed20260222,configs/objective_bayes_stage2.toml,20260222,outputs/cluster/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,plots/cluster/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,logs/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,completed
