run_id,config,base_seed,outputs_path,plots_path,logs_path,notes
run_approved_seed20260222_hash8d9efc1b,configs/approved.toml,20260222,outputs/cra_sampling/run_approved_seed20260222_hash8d9efc1b,plots/cra_sampling/run_approved_seed20260222_hash8d9efc1b,logs/run_approved_seed20260222_hash8d9efc1b,completed
run_approved_seed20260222_hash8d9efc1b_v2,configs/approved.toml,20260222,outputs/cra_sampling/run_approved_seed20260222_hash8d9efc1b_v2,plots/cra_sampling/run_approved_seed20260222_hash8d9efc1b_v2,logs/run_approved_seed20260222_hash8d9efc1b_v2,completed
run_cra_sampling_highmc2x_seed20260222,configs/cra_sampling_highmc2x.toml,20260222,outputs/cra_sampling/run_cra_sampling_highmc2x_seed20260222,plots/cra_sampling/run_cra_sampling_highmc2x_seed20260222,logs/run_cra_sampling_highmc2x_seed20260222,completed
run_cra_sampling_highmc32x_seed20260222,configs/cra_sampling_highmc32x.toml,20260222,outputs/cra_sampling/run_cra_sampling_highmc32x_seed20260222,plots/cra_sampling/run_cra_sampling_highmc32x_seed20260222,logs/run_cra_sampling_highmc32x_seed20260222,completed
run_cra_sampling_smoke_seq,configs/cra_sampling_smoke.toml,20260222,outputs/cra_sampling/run_cra_sampling_smoke_seq,plots/cra_sampling/run_cra_sampling_smoke_seq,logs/run_cra_sampling_smoke_seq,completed
run_cra_sampling_smoke_par,configs/cra_sampling_smoke.toml,20260222,outputs/cra_sampling/run_cra_sampling_smoke_par,plots/cra_sampling/run_cra_sampling_smoke_par,logs/run_cra_sampling_smoke_par,completed
run_cra_sampling_highmc128x_seed20260222,configs/cra_sampling_highmc128x.toml,20260222,outputs/cra_sampling/run_cra_sampling_highmc128x_seed20260222,plots/cra_sampling/run_cra_sampling_highmc128x_seed20260222,logs/run_cra_sampling_highmc128x_seed20260222,completed
run_objective_bayes_stage0_seed20260222,configs/objective_bayes_stage0.toml,20260222,outputs/cra_sampling/run_objective_bayes_stage0_seed20260222,plots/cra_sampling/run_objective_bayes_stage0_seed20260222,logs/run_objective_bayes_stage0_seed20260222,completed
run_objective_bayes_stage0_B50_R500_S500_seed20260222,configs/objective_bayes_stage0.toml,20260222,outputs/cra_sampling/run_objective_bayes_stage0_B50_R500_S500_seed20260222,plots/cra_sampling/run_objective_bayes_stage0_B50_R500_S500_seed20260222,logs/run_objective_bayes_stage0_B50_R500_S500_seed20260222,completed
run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,configs/objective_bayes_stage0.toml,20260222,outputs/cra_sampling/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,plots/cra_sampling/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,logs/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,completed
run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,configs/objective_bayes_stage0.toml,20260222,outputs/cra_sampling/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,plots/cra_sampling/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,logs/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,completed
run_objective_bayes_stage1_B30_R200_S2000_seed20260222,configs/objective_bayes_stage1.toml,20260222,outputs/cra_sampling/run_objective_bayes_stage1_B30_R200_S2000_seed20260222,plots/cra_sampling/run_objective_bayes_stage1_B30_R200_S2000_seed20260222,logs/run_objective_bayes_stage1_B30_R200_S2000_seed20260222,completed
run_objective_bayes_stage2_B30_R200_S2000_seed20260222,configs/objective_bayes_stage2.toml,20260222,outputs/cra_sampling/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,plots/cra_sampling/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,logs/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,completed
run_objective_bayes_stage2_B30_R200_S2000_seed20260222,configs/objective_bayes_stage2.toml,20260222,outputs/cra_sampling/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,plots/cra_sampling/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,logs/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,completed
