module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
cluster,regime_a,continuous,gaussian,400,40,0.5,40,300,,0.9549166666666666,0.0018940878717052022,1.3338475226669677,,,,0.025,,
cluster,regime_a,continuous,cornish_fisher,400,40,0.5,40,300,,0.9540833333333333,0.0019106789017887711,1.3338475226669677,,,,0.025,,
cluster,regime_a,continuous,calibrated,400,40,0.5,40,300,,0.9520833333333333,0.0019498004112007265,1.3143268772210344,,,,0.025,,
cluster,regime_a,binary,gaussian,400,40,0.5,40,300,,0.9451666666666667,0.0020781931031725784,0.16821418846574213,,,,0.025,,
cluster,regime_a,binary,cornish_fisher,400,40,0.5,40,300,,0.9436666666666667,0.0021047543183803524,0.16821418846574213,,,,0.025,,
cluster,regime_a,binary,calibrated,400,40,0.5,40,300,,0.95025,0.0019848370525058215,0.11940544570181685,,,,0.025,,
cluster,regime_b,continuous,gaussian,400,40,0.5,40,300,,0.95275,0.0019368668320253722,1.4181227354216677,,,,0.025,,
cluster,regime_b,continuous,cornish_fisher,400,40,0.5,40,300,,0.9526666666666667,0.001938489293429484,1.4181227354216677,,,,0.025,,
cluster,regime_b,continuous,calibrated,400,40,0.5,40,300,,0.9531666666666667,0.0019287295521107104,1.3939006449778826,,,,0.025,,
cluster,regime_b,binary,gaussian,400,40,0.5,40,300,,0.9559166666666666,0.001873943992749774,0.169052635725335,,,,0.025,,
cluster,regime_b,binary,cornish_fisher,400,40,0.5,40,300,,0.9548333333333333,0.001895754882381706,0.169052635725335,,,,0.025,,
cluster,regime_b,binary,calibrated,400,40,0.5,40,300,,0.9548333333333333,0.001895754882381706,0.11807721778640594,,,,0.025,,
cluster,violation,continuous,gaussian,400,11,0.5,40,300,,0.9276666666666666,0.002364692055748173,1.6101322126935123,,,,0.6,,
cluster,violation,continuous,cornish_fisher,400,11,0.5,40,300,,0.9261666666666667,0.0023871526313131264,1.6101322126935125,,,,0.6,,
cluster,violation,continuous,calibrated,400,11,0.5,40,300,,0.9498333333333333,0.0019926944117246177,1.5566507667717584,,,,0.6,,
cluster,violation,binary,gaussian,400,11,0.5,40,300,,0.9285833333333333,0.002350821246374851,0.20340408251061232,,,,0.6,,
cluster,violation,binary,cornish_fisher,400,11,0.5,40,300,,0.9184166666666667,0.002498791258714827,0.20340408251061232,,,,0.6,,
cluster,violation,binary,calibrated,400,11,0.5,40,300,,0.953,0.0019319894754716799,0.15304630044254944,,,,0.6,,
cluster,regime_a,continuous,gaussian,800,80,0.5,40,300,,0.9566666666666667,0.0018586633986899376,1.0122061784142504,,,,0.0125,,
cluster,regime_a,continuous,cornish_fisher,800,80,0.5,40,300,,0.9565,0.0018620720984967253,1.0122061784142504,,,,0.0125,,
