module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
cluster,regime_a,continuous,gaussian,400,40,0.5,80,600,,0.956125,0.0009348572125263302,1.3946443073458035,,,,0.025,,
cluster,regime_a,continuous,cornish_fisher,400,40,0.5,80,600,,0.9556666666666667,0.000939502182994724,1.3946443073458035,,,,0.025,,
cluster,regime_a,continuous,calibrated,400,40,0.5,80,600,,0.9505,0.0009900520819633681,1.3638907200950228,,,,0.025,,
cluster,regime_a,binary,gaussian,400,40,0.5,80,600,,0.9587708333333333,0.0009074841881386381,0.16906923725403195,,,,0.025,,
cluster,regime_a,binary,cornish_fisher,400,40,0.5,80,600,,0.958375,0.000911641826767783,0.1690692372540319,,,,0.025,,
cluster,regime_a,binary,calibrated,400,40,0.5,80,600,,0.9487291666666666,0.0010066666837331565,0.11912933891126208,,,,0.025,,
cluster,regime_b,continuous,gaussian,400,40,0.5,80,600,,0.9577916666666667,0.0009177280589694895,1.4123141876097045,,,,0.025,,
cluster,regime_b,continuous,cornish_fisher,400,40,0.5,80,600,,0.9581041666666666,0.0009144735790178107,1.4123141876097043,,,,0.025,,
cluster,regime_b,continuous,calibrated,400,40,0.5,80,600,,0.9509166666666666,0.0009860924538532363,1.3623508798715855,,,,0.025,,
cluster,regime_b,binary,gaussian,400,40,0.5,80,600,,0.9563333333333334,0.0009327366644370663,0.16845332917524108,,,,0.025,,
cluster,regime_b,binary,cornish_fisher,400,40,0.5,80,600,,0.9555625,0.0009405540099872656,0.16845332917524108,,,,0.025,,
cluster,regime_b,binary,calibrated,400,40,0.5,80,600,,0.95,0.0009947780321927773,0.11651393498358428,,,,0.025,,
cluster,violation,continuous,gaussian,400,11,0.5,80,600,,0.87625,0.001503024294963325,1.9746144032438995,,,,0.8,,
cluster,violation,continuous,cornish_fisher,400,11,0.5,80,600,,0.8299791666666667,0.0017146048473699182,1.9746144032438995,,,,0.8,,
cluster,violation,continuous,calibrated,400,11,0.5,80,600,,0.9538333333333333,0.0009578111500050908,1.6051794925054632,,,,0.8,,
cluster,violation,binary,gaussian,400,11,0.5,80,600,,0.9456041666666667,0.001035182417995591,0.26748480387038676,,,,0.8,,
cluster,violation,binary,cornish_fisher,400,11,0.5,80,600,,0.9296666666666666,0.001167141768341536,0.26748480387038676,,,,0.8,,
cluster,violation,binary,calibrated,400,11,0.5,80,600,,0.9620833333333333,0.0008717677569116339,0.17039660386893932,,,,0.8,,
cluster,regime_a,continuous,gaussian,800,80,0.5,80,600,,0.9545625,0.0009505802350160271,0.9979703754167206,,,,0.0125,,
cluster,regime_a,continuous,cornish_fisher,800,80,0.5,80,600,,0.9538125,0.0009580167757289671,0.9979703754167206,,,,0.0125,,
cluster,regime_a,continuous,calibrated,800,80,0.5,80,600,,0.9485625,0.0010082129776010252,0.9692713175868015,,,,0.0125,,
cluster,regime_a,binary,gaussian,800,80,0.5,80,600,,0.9535416666666666,0.0009606850485159694,0.11917388209414094,,,,0.0125,,
cluster,regime_a,binary,cornish_fisher,800,80,0.5,80,600,,0.953375,0.000962322595934354,0.11917388209414095,,,,0.0125,,
cluster,regime_a,binary,calibrated,800,80,0.5,80,600,,0.9497916666666667,0.0009967390225674902,0.08537323035382152,,,,0.0125,,
cluster,regime_b,continuous,gaussian,800,58,0.5,80,600,,0.9528333333333333,0.0009676213556773968,1.0193109703128205,,,,0.0175,,
cluster,regime_b,continuous,cornish_fisher,800,58,0.5,80,600,,0.9525,0.0009708646275356826,1.0193109703128205,,,,0.0175,,
cluster,regime_b,continuous,calibrated,800,58,0.5,80,600,,0.9488541666666667,0.0010055050251197594,1.00703273991627,,,,0.0175,,
cluster,regime_b,binary,gaussian,800,58,0.5,80,600,,0.9566666666666667,0.0009293316993449688,0.11893901686480376,,,,0.0175,,
cluster,regime_b,binary,cornish_fisher,800,58,0.5,80,600,,0.9549791666666667,0.0009464182248010292,0.11893901686480374,,,,0.0175,,
cluster,regime_b,binary,calibrated,800,58,0.5,80,600,,0.9516041666666667,0.0009795160013294994,0.08529652259386773,,,,0.0175,,
cluster,violation,continuous,gaussian,800,11,0.5,80,600,,0.8815,0.0014751959615590064,1.4985261026474366,,,,0.8,,
cluster,violation,continuous,cornish_fisher,800,11,0.5,80,600,,0.8481041666666667,0.001638237678302673,1.4985261026474364,,,,0.8,,
cluster,violation,continuous,calibrated,800,11,0.5,80,600,,0.9526041666666667,0.000969852526546908,1.2114520947435121,,,,0.8,,
cluster,violation,binary,gaussian,800,11,0.5,80,600,,0.948875,0.0010053112533667534,0.18704419506662842,,,,0.8,,
cluster,violation,binary,cornish_fisher,800,11,0.5,80,600,,0.9394791666666666,0.00108836710704971,0.18704419506662848,,,,0.8,,
