module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
cra_sampling,CRA,continuous,gaussian,200,200,0.2,400,6400,,0.92059609375,0.00016898008148410714,2.244167935907787,-0.4776133231038882,0.0035800386761028137,,,,
cra_sampling,CRA,continuous,cornish_fisher,200,200,0.2,400,6400,,0.89698515625,0.00018998641575325022,2.244167935907787,-0.4776133231038882,0.0035800386761028137,,,,
cra_sampling,CRA,continuous,calibrated,200,200,0.2,400,6400,,0.9503234375,0.00013579741580720692,2.3676867411677804,-0.4776133231038882,0.0035800386761028137,,,,
cra_sampling,CRA,continuous,gaussian,200,200,0.35,400,6400,,0.94778671875,0.00013903553742983024,1.9540713752810144,-0.22765341403593195,-0.23472199997787896,,,,
cra_sampling,CRA,continuous,cornish_fisher,200,200,0.35,400,6400,,0.941935546875,0.00014616580430110903,1.9540713752810144,-0.22765341403593195,-0.23472199997787896,,,,
cra_sampling,CRA,continuous,calibrated,200,200,0.35,400,6400,,0.950133984375,0.00013604255439287084,1.9378596715146355,-0.22765341403593195,-0.23472199997787896,,,,
cra_sampling,CRA,continuous,gaussian,200,200,0.5,400,6400,,0.955180078125,0.00012931776583967563,1.888438666316791,0.002569667987535109,-0.3093891876324473,,,,
cra_sampling,CRA,continuous,cornish_fisher,200,200,0.5,400,6400,,0.95512578125,0.00012939239502861465,1.888438666316791,0.002569667987535109,-0.3093891876324473,,,,
cra_sampling,CRA,continuous,calibrated,200,200,0.5,400,6400,,0.95010625,0.00013607839495888003,1.832224018167832,0.002569667987535109,-0.3093891876324473,,,,
cra_sampling,CRA,continuous,gaussian,200,200,0.65,400,6400,,0.947864453125,0.00013893769909320626,2.0276764805530254,0.21857031543591815,-0.2527482347310379,,,,
cra_sampling,CRA,continuous,cornish_fisher,200,200,0.65,400,6400,,0.94193828125,0.00014616257478537048,2.0276764805530254,0.21857031543591815,-0.2527482347310379,,,,
cra_sampling,CRA,continuous,calibrated,200,200,0.65,400,6400,,0.949587890625,0.00013674612740655098,1.9914886474418436,0.21857031543591815,-0.2527482347310379,,,,
cra_sampling,CRA,continuous,gaussian,200,200,0.8,400,6400,,0.921627734375,0.00016797280937630161,2.2865260673933445,0.460169798903368,-0.04257041416345121,,,,
cra_sampling,CRA,continuous,cornish_fisher,200,200,0.8,400,6400,,0.898998828125,0.00018833142241769885,2.2865260673933445,0.460169798903368,-0.04257041416345121,,,,
cra_sampling,CRA,continuous,calibrated,200,200,0.8,400,6400,,0.950121875,0.00013605820452349782,2.390374262706686,0.460169798903368,-0.04257041416345121,,,,
cra_sampling,CRA,continuous,gaussian,200,200,0.86,400,6400,,0.898276953125,0.00018892734695001904,2.530287288343742,0.6006536555769308,0.17614667057181166,,,,
cra_sampling,CRA,continuous,cornish_fisher,200,200,0.86,400,6400,,0.864597265625,0.00021384576975406425,2.530287288343742,0.6006536555769308,0.17614667057181166,,,,
cra_sampling,CRA,continuous,calibrated,200,200,0.86,400,6400,,0.950088671875,0.00013610110478088548,2.8053175336614573,0.6006536555769308,0.17614667057181166,,,,
cra_sampling,CRA,continuous,gaussian,200,200,0.9,400,6400,,0.87206484375,0.0002087609952617841,2.759161443960104,0.7313189548602991,0.39460964574258606,,,,
cra_sampling,CRA,continuous,cornish_fisher,200,200,0.9,400,6400,,0.82798046875,0.00023587338708256362,2.759161443960104,0.7313189548602991,0.39460964574258606,,,,
cra_sampling,CRA,continuous,calibrated,200,200,0.9,400,6400,,0.9498453125,0.00013641503024687843,3.2856106619870467,0.7313189548602991,0.39460964574258606,,,,
cra_sampling,CRA,continuous,gaussian,200,200,0.93,400,6400,,0.841915234375,0.0002280127913269485,3.1192709973938593,0.838175225927978,0.5889515581536459,,,,
cra_sampling,CRA,continuous,cornish_fisher,200,200,0.93,400,6400,,0.78936015625,0.0002548519024408585,3.1192709973938593,0.838175225927978,0.5889515581536459,,,,
cra_sampling,CRA,continuous,calibrated,200,200,0.93,400,6400,,0.94993515625,0.00013629923876674356,4.0286251432119355,0.838175225927978,0.5889515581536459,,,,
cra_sampling,CRA,continuous,gaussian,400,400,0.2,400,6400,,0.929117578125,0.0001603927115903418,1.6820779649995405,-0.4616050250280815,0.07556037821087827,,,,
cra_sampling,CRA,continuous,cornish_fisher,400,400,0.2,400,6400,,0.909140234375,0.00017963098960913467,1.6820779649995405,-0.4616050250280815,0.07556037821087827,,,,
cra_sampling,CRA,continuous,calibrated,400,400,0.2,400,6400,,0.950326171875,0.0001357938737290709,1.7550937605145998,-0.4616050250280815,0.07556037821087827,,,,
cra_sampling,CRA,continuous,gaussian,400,400,0.35,400,6400,,0.94911875,0.00013734700067034462,1.4705350819681868,-0.20668059632523636,-0.1882292299614802,,,,
cra_sampling,CRA,continuous,cornish_fisher,400,400,0.35,400,6400,,0.944247265625,0.000143402251911895,1.4705350819681868,-0.20668059632523636,-0.1882292299614802,,,,
cra_sampling,CRA,continuous,calibrated,400,400,0.35,400,6400,,0.949819921875,0.00013644773192904896,1.4518491531492461,-0.20668059632523636,-0.1882292299614802,,,,
cra_sampling,CRA,continuous,gaussian,400,400,0.5,400,6400,,0.954291015625,0.00013053327090607918,1.379440227629498,0.00332636431975379,-0.24722424460098047,,,,
cra_sampling,CRA,continuous,cornish_fisher,400,400,0.5,400,6400,,0.954251953125,0.00013058636253052697,1.379440227629498,0.00332636431975379,-0.24722424460098047,,,,
cra_sampling,CRA,continuous,calibrated,400,400,0.5,400,6400,,0.950201953125,0.0001359546704708091,1.3503464689362799,0.00332636431975379,-0.24722424460098047,,,,
cra_sampling,CRA,continuous,gaussian,400,400,0.65,400,6400,,0.948721875,0.00013785278449831616,1.4659816364350762,0.21405602133309615,-0.1846800151865492,,,,
cra_sampling,CRA,continuous,cornish_fisher,400,400,0.65,400,6400,,0.943685546875,0.0001440799684287669,1.4659816364350762,0.21405602133309615,-0.1846800151865492,,,,
cra_sampling,CRA,continuous,calibrated,400,400,0.65,400,6400,,0.950034765625,0.00013617071909126626,1.4547080899471727,0.21405602133309615,-0.1846800151865492,,,,
