module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
cra_symflip,plus,continuous,gaussian_one_sided,800,800,0.5,200,5000,,0.94957,0.0002188305625364062,inf,1.6981709324929497,5.272576552489247,,,,
cra_symflip,minus,continuous,gaussian_one_sided,800,800,0.5,200,5000,,0.949831,0.0002182935441990899,inf,1.6981709324929497,5.272576552489247,,,,
cra_symflip,delta,continuous,symflip_delta,800,800,0.5,200,5000,,-0.000261,0.00031717350532166534,,1.6981709324929497,5.272576552489247,,,,
cra_symflip,plus,continuous,gaussian_one_sided,800,800,0.92875,200,5000,,0.965403,0.00018275679902810725,inf,1.6713695332135967,5.051044618171604,,,,
cra_symflip,minus,continuous,gaussian_one_sided,800,800,0.92875,200,5000,,0.92334,0.0002660512063494544,inf,1.6713695332135967,5.051044618171604,,,,
cra_symflip,delta,continuous,symflip_delta,800,800,0.92875,200,5000,,0.042063,0.0003308894279344892,,1.6713695332135967,5.051044618171604,,,,
cra_symflip,plus,continuous,gaussian_one_sided,800,800,0.965,200,5000,,0.969105,0.00017303323084020598,inf,1.708496291403322,5.42250816959851,,,,
cra_symflip,minus,continuous,gaussian_one_sided,800,800,0.965,200,5000,,0.907754,0.00028937290039670276,inf,1.708496291403322,5.42250816959851,,,,
cra_symflip,delta,continuous,symflip_delta,800,800,0.965,200,5000,,0.061351,0.00034551002037013943,,1.708496291403322,5.42250816959851,,,,
cra_symflip,plus,continuous,gaussian_one_sided,1200,1200,0.5,200,5000,,0.949535,0.00021890245264729217,inf,1.6963897788526483,5.23557269549227,,,,
cra_symflip,minus,continuous,gaussian_one_sided,1200,1200,0.5,200,5000,,0.949573,0.0002188243991674603,inf,1.6963897788526483,5.23557269549227,,,,
cra_symflip,delta,continuous,symflip_delta,1200,1200,0.5,200,5000,,-3.8e-05,0.00031763516720933067,,1.6963897788526483,5.23557269549227,,,,
cra_symflip,plus,continuous,gaussian_one_sided,1200,1200,0.9425,200,5000,,0.965011,0.0001837519248307349,inf,1.6932750076762915,5.211724634843664,,,,
cra_symflip,minus,continuous,gaussian_one_sided,1200,1200,0.9425,200,5000,,0.925938,0.0002618717628076765,inf,1.6932750076762915,5.211724634843664,,,,
cra_symflip,delta,continuous,symflip_delta,1200,1200,0.9425,200,5000,,0.039073,0.0003279091462515314,,1.6932750076762915,5.211724634843664,,,,
cra_symflip,plus,continuous,gaussian_one_sided,1200,1200,0.9708333333333333,200,5000,,0.968812,0.00017382551209762045,inf,1.6987222724588873,5.226302876042674,,,,
cra_symflip,minus,continuous,gaussian_one_sided,1200,1200,0.9708333333333333,200,5000,,0.912009,0.00028328181007434986,inf,1.6987222724588873,5.226302876042674,,,,
cra_symflip,delta,continuous,symflip_delta,1200,1200,0.9708333333333333,200,5000,,0.056803,0.0003405180393804932,,1.6987222724588873,5.226302876042674,,,,
cra_symflip,plus,continuous,gaussian_one_sided,1600,1600,0.5,200,5000,,0.949587,0.0002187956339395282,inf,1.768437525773228,5.852646021517866,,,,
cra_symflip,minus,continuous,gaussian_one_sided,1600,1600,0.5,200,5000,,0.949835,0.00021828530132603983,inf,1.768437525773228,5.852646021517866,,,,
cra_symflip,delta,continuous,symflip_delta,1600,1600,0.5,200,5000,,-0.000248,0.00031714040908411385,,1.768437525773228,5.852646021517866,,,,
cra_symflip,plus,continuous,gaussian_one_sided,1600,1600,0.95,200,5000,,0.964236,0.00018570120167624122,inf,1.7303223431720252,5.6745875430342885,,,,
cra_symflip,minus,continuous,gaussian_one_sided,1600,1600,0.95,200,5000,,0.926856,0.00026037272373272895,inf,1.7303223431720252,5.6745875430342885,,,,
cra_symflip,delta,continuous,symflip_delta,1600,1600,0.95,200,5000,,0.03738,0.0003278884613871661,,1.7303223431720252,5.6745875430342885,,,,
cra_symflip,plus,continuous,gaussian_one_sided,1600,1600,0.975,200,5000,,0.968253,0.00017532577674432236,inf,1.738520491248642,5.767170827202279,,,,
cra_symflip,minus,continuous,gaussian_one_sided,1600,1600,0.975,200,5000,,0.913652,0.00028087723812370415,inf,1.738520491248642,5.767170827202279,,,,
cra_symflip,delta,continuous,symflip_delta,1600,1600,0.975,200,5000,,0.054601,0.000339284314274689,,1.738520491248642,5.767170827202279,,,,
cra_symflip,plus,continuous,gaussian_one_sided,2400,2400,0.5,200,5000,,0.950075,0.00021779002358923605,inf,1.747714235443131,5.943354424630878,,,,
cra_symflip,minus,continuous,gaussian_one_sided,2400,2400,0.5,200,5000,,0.950122,0.0002176928687761728,inf,1.747714235443131,5.943354424630878,,,,
cra_symflip,delta,continuous,symflip_delta,2400,2400,0.5,200,5000,,-4.7e-05,0.0003159162825719776,,1.747714235443131,5.943354424630878,,,,
cra_symflip,plus,continuous,gaussian_one_sided,2400,2400,0.9591666666666666,200,5000,,0.963733,0.00018695375019239395,inf,1.745202933444028,5.756186488728426,,,,
cra_symflip,minus,continuous,gaussian_one_sided,2400,2400,0.9591666666666666,200,5000,,0.928523,0.0002576199496758743,inf,1.745202933444028,5.756186488728426,,,,
cra_symflip,delta,continuous,symflip_delta,2400,2400,0.9591666666666666,200,5000,,0.03521,0.00032635006113736583,,1.745202933444028,5.756186488728426,,,,
cra_symflip,plus,continuous,gaussian_one_sided,2400,2400,0.9795833333333334,200,5000,,0.966979,0.00017869139195551633,inf,1.7226102542168942,5.480191555625542,,,,
cra_symflip,minus,continuous,gaussian_one_sided,2400,2400,0.9795833333333334,200,5000,,0.917353,0.0002753479133587179,inf,1.7226102542168942,5.480191555625542,,,,
cra_symflip,delta,continuous,symflip_delta,2400,2400,0.9795833333333334,200,5000,,0.049626,0.0003364600620123781,,1.7226102542168942,5.480191555625542,,,,
