module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
cra_symflip,plus,continuous,gaussian_one_sided,2000,2000,0.5,200,8000,,0.949620625,0.00017291850243432848,inf,1.7117865309536662,5.427671286337722,,,,
cra_symflip,minus,continuous,gaussian_one_sided,2000,2000,0.5,200,8000,,0.950136875,0.00017207700631772824,inf,1.7117865309536662,5.427671286337722,,,,
cra_symflip,delta,continuous,symflip_delta,2000,2000,0.5,200,8000,,-0.00051625,0.00025030268693295696,,1.7117865309536662,5.427671286337722,,,,
cra_symflip,plus,continuous,gaussian_one_sided,2000,2000,0.9775,200,8000,,0.967713125,0.00013974179918409884,inf,1.7047338451104956,5.271554445929634,,,,
cra_symflip,minus,continuous,gaussian_one_sided,2000,2000,0.9775,200,8000,,0.91611625,0.00021915643169597134,inf,1.7047338451104956,5.271554445929634,,,,
cra_symflip,delta,continuous,symflip_delta,2000,2000,0.9775,200,8000,,0.051596875,0.0002663508710716713,,1.7047338451104956,5.271554445929634,,,,
cra_symflip,plus,continuous,gaussian_one_sided,3000,3000,0.5,200,8000,,0.949641875,0.00017288396442137932,inf,1.7224943188555413,5.625614502664692,,,,
cra_symflip,minus,continuous,gaussian_one_sided,3000,3000,0.5,200,8000,,0.949955625,0.00017237302488146781,inf,1.7224943188555413,5.625614502664692,,,,
cra_symflip,delta,continuous,symflip_delta,3000,3000,0.5,200,8000,,-0.00031375,0.0002505025752268798,,1.7224943188555413,5.625614502664692,,,,
cra_symflip,plus,continuous,gaussian_one_sided,3000,3000,0.9816666666666667,200,8000,,0.9669775,0.00014127104819669785,inf,1.7643983035803172,6.131271660794818,,,,
cra_symflip,minus,continuous,gaussian_one_sided,3000,3000,0.9816666666666667,200,8000,,0.91901125,0.00021568143808264648,inf,1.7643983035803172,6.131271660794818,,,,
cra_symflip,delta,continuous,symflip_delta,3000,3000,0.9816666666666667,200,8000,,0.04796625,0.0002642330395219775,,1.7643983035803172,6.131271660794818,,,,
cra_symflip,plus,continuous,gaussian_one_sided,4500,4500,0.5,200,8000,,0.95014,0.00017207189703725593,inf,1.740766124702068,5.797002842514545,,,,
