module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
cra_sampling,CRA,continuous,gaussian,200,200,0.5,1,10,,0.9,0.09486832980505137,1.4629090297250351,-0.36361142061451046,-1.1583302942239733,,,,
cra_sampling,CRA,continuous,cornish_fisher,200,200,0.5,1,10,,0.9,0.09486832980505137,1.4629090297250351,-0.36361142061451046,-1.1583302942239733,,,,
cra_sampling,CRA,continuous,calibrated,200,200,0.5,1,10,,0.9,0.09486832980505137,1.1721568445253323,-0.36361142061451046,-1.1583302942239733,,,,
parity,parity_holds,continuous,gaussian,200,200,0.5,1,10,,1.0,0.0,0.577526477766706,0.0063353570008067165,,,,,
parity,parity_holds,continuous,cornish_fisher,200,200,0.5,1,10,,1.0,0.0,0.577526477766706,0.0063353570008067165,,,,,
parity,parity_holds,continuous,calibrated,200,200,0.5,1,10,,0.8,0.12649110640673517,0.5209055180604751,0.0063353570008067165,,,,,
parity,parity_fails,continuous,gaussian,200,200,0.7,1,10,,0.9,0.09486832980505137,2.3329259349362985,0.08266584505720202,,,,,
parity,parity_fails,continuous,cornish_fisher,200,200,0.7,1,10,,0.9,0.09486832980505137,2.3329259349362976,0.08266584505720202,,,,,
parity,parity_fails,continuous,calibrated,200,200,0.7,1,10,,1.0,0.0,2.3375963865670104,0.08266584505720202,,,,,
lattice,CRA,binary,gaussian,200,200,0.5,1,10,,1.0,0.0,0.23412331040736456,,,0.2,,,
lattice,CRA,binary,cornish_fisher,200,200,0.5,1,10,,1.0,0.0,0.23412331040736456,,,0.2,,,
lattice,CRA,binary,calibrated,200,200,0.5,1,10,,0.6,0.15491933384829668,0.13295912102925223,,,0.2,,,
lattice,CRA,binary,calibrated_jitter,200,200,0.5,1,10,,0.9,0.09486832980505137,0.15410537648398542,,,0.1,,,
stratified,stratified,continuous,gaussian,200,200,0.5,1,10,,1.0,0.0,0.8027100978488168,,,,,,
stratified,stratified,continuous,cornish_fisher,200,200,0.5,1,10,,0.9,0.09486832980505137,0.8027100978488168,,,,,,
stratified,stratified,continuous,calibrated,200,200,0.5,1,10,,1.0,0.0,0.8680603679063582,,,,,,
stratified,stratified,binary,gaussian,200,200,0.5,1,10,,0.5,0.15811388300841897,0.24188501235915996,,,,,,
stratified,stratified,binary,cornish_fisher,200,200,0.5,1,10,,0.5,0.15811388300841897,0.24188501235915996,,,,,,
stratified,stratified,binary,calibrated,200,200,0.5,1,10,,0.7,0.14491376746189438,0.16345608305281129,,,,,,
cluster,regime_a,continuous,gaussian,200,20,0.5,1,10,,0.9,0.09486832980505137,2.509338216468156,,,,0.05,,
cluster,regime_a,continuous,cornish_fisher,200,20,0.5,1,10,,0.9,0.09486832980505137,2.509338216468156,,,,0.05,,
cluster,regime_a,continuous,calibrated,200,20,0.5,1,10,,0.8,0.12649110640673517,1.865649572652601,,,,0.05,,
cluster,regime_a,binary,gaussian,200,20,0.5,1,10,,1.0,0.0,0.25572293028086,,,,0.05,,
cluster,regime_a,binary,cornish_fisher,200,20,0.5,1,10,,1.0,0.0,0.25572293028086,,,,0.05,,
cluster,regime_a,binary,calibrated,200,20,0.5,1,10,,0.8,0.12649110640673517,0.10973690511141751,,,,0.05,,
cluster,regime_b,continuous,gaussian,200,25,0.5,1,10,,1.0,0.0,1.2865007518173694,,,,0.04,,
cluster,regime_b,continuous,cornish_fisher,200,25,0.5,1,10,,1.0,0.0,1.2865007518173694,,,,0.04,,
cluster,regime_b,continuous,calibrated,200,25,0.5,1,10,,0.9,0.09486832980505137,1.4117964311859361,,,,0.04,,
cluster,regime_b,binary,gaussian,200,25,0.5,1,10,,1.0,0.0,0.25027005995439106,,,,0.04,,
cluster,regime_b,binary,cornish_fisher,200,25,0.5,1,10,,1.0,0.0,0.250270059954391,,,,0.04,,
cluster,regime_b,binary,calibrated,200,25,0.5,1,10,,1.0,0.0,0.18727518180542427,,,,0.04,,
cluster,violation,continuous,gaussian,200,11,0.5,1,10,,1.0,0.0,2.111650197217812,,,,0.3,,
cluster,violation,continuous,cornish_fisher,200,11,0.5,1,10,,1.0,0.0,2.111650197217812,,,,0.3,,
cluster,violation,continuous,calibrated,200,11,0.5,1,10,,1.0,0.0,2.0943423903322573,,,,0.3,,
cluster,violation,binary,gaussian,200,11,0.5,1,10,,1.0,0.0,0.2579197848366771,,,,0.3,,
cluster,violation,binary,cornish_fisher,200,11,0.5,1,10,,1.0,0.0,0.2579197848366771,,,,0.3,,
cluster,violation,binary,calibrated,200,11,0.5,1,10,,1.0,0.0,0.1344231594940434,,,,0.3,,
one_sided,CRA,continuous,gaussian_one_sided,200,200,0.5,1,10,,1.0,0.0,inf,,,,,,
one_sided,CRA,continuous,cornish_fisher_one_sided,200,200,0.5,1,10,,1.0,0.0,inf,,,,,,
one_sided,CRA,continuous,calibrated_one_sided,200,200,0.5,1,10,,1.0,0.0,inf,,,,,,
objective_bayes,CRA,continuous,objective_bayes,200,200,0.5,50,500,500,,,,,,,,1.9603960396039601,0.019827174631647463
objective_bayes,stratified,continuous,objective_bayes,200,200,0.5,50,500,500,,,,,,,,1.9603960396039601,0.012008500793766978
fpc,SRSWOR,continuous,fpc_ratio,200,200,0.5,1,200,,,nan,,,,,,1.0725509844000738,
