module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
parity_det,parity_holds,continuous,gaussian,800,800,0.5,1,50000,,0.9338,0.0011119133059730873,0.27735450085336905,1.4106568219434259e-16,-0.4451853943115238,,,,
parity_det,parity_holds,continuous,cornish_fisher,800,800,0.5,1,50000,,0.9338,0.0011119133059730873,0.27735450085336905,1.4106568219434259e-16,-0.4451853943115238,,,,
parity_det,parity_holds,continuous,calibrated,800,800,0.5,1,50000,,0.9528,0.0009483897932812227,0.28606023639890493,1.4106568219434259e-16,-0.4451853943115238,,,,
parity_det,parity_holds,continuous,gaussian,1600,1600,0.5,1,50000,,0.945,0.0010195587280779862,0.19605742164307124,-6.159813365470084e-18,-0.16771556483043604,,,,
parity_det,parity_holds,continuous,cornish_fisher,1600,1600,0.5,1,50000,,0.945,0.0010195587280779862,0.19605742164307124,-6.159813365470084e-18,-0.16771556483043604,,,,
parity_det,parity_holds,continuous,calibrated,1600,1600,0.5,1,50000,,0.9526,0.0009502972166643445,0.20301327248710743,-6.159813365470084e-18,-0.16771556483043604,,,,
parity_det,parity_holds,continuous,gaussian,2400,2400,0.5,1,50000,,0.95492,0.0009278770780658396,0.16006402698817024,4.334394714320998e-16,-0.14217774306576514,,,,
parity_det,parity_holds,continuous,cornish_fisher,2400,2400,0.5,1,50000,,0.95492,0.0009278770780658396,0.16006402698817024,4.334394714320998e-16,-0.14217774306576514,,,,
parity_det,parity_holds,continuous,calibrated,2400,2400,0.5,1,50000,,0.9561,0.0009162182054510819,0.16084058764083978,4.334394714320998e-16,-0.14217774306576514,,,,
parity_det,parity_holds,continuous,gaussian,3200,3200,0.5,1,50000,,0.94948,0.0009794664833469291,0.13861188796226906,-2.5218644567248594e-16,-0.07793485542119427,,,,
parity_det,parity_holds,continuous,cornish_fisher,3200,3200,0.5,1,50000,,0.94948,0.0009794664833469291,0.13861188796226906,-2.5218644567248594e-16,-0.07793485542119427,,,,
parity_det,parity_holds,continuous,calibrated,3200,3200,0.5,1,50000,,0.94772,0.0009954576997542387,0.13759147032008667,-2.5218644567248594e-16,-0.07793485542119427,,,,
parity_det,parity_holds,continuous,gaussian,4000,4000,0.5,1,50000,,0.95096,0.0009657647581062375,0.12397457923469965,-1.5277688260070777e-16,0.006397260335352595,,,,
parity_det,parity_holds,continuous,cornish_fisher,4000,4000,0.5,1,50000,,0.95096,0.0009657647581062375,0.12397457923469965,-1.5277688260070777e-16,0.006397260335352595,,,,
