module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
parity_det,parity_holds,continuous,gaussian,3000,3000,0.5,1,200000,,0.95069,0.0004841411152752881,0.1431593734541402,1.906964781405395e-16,-0.006715644182730962,,,,
parity_det,parity_holds,continuous,cornish_fisher,3000,3000,0.5,1,200000,,0.95069,0.0004841411152752881,0.1431593734541402,1.906964781405395e-16,-0.006715644182730962,,,,
parity_det,parity_holds,continuous,calibrated,3000,3000,0.5,1,200000,,0.94669,0.0005023347683567204,0.14073497524289832,1.906964781405395e-16,-0.006715644182730962,,,,
parity_det,parity_holds,continuous,gaussian,3050,3050,0.5,1,200000,,0.94914,0.0004912904456632553,0.14198058988324938,1.2935048953732887e-16,-0.024101757585994754,,,,
parity_det,parity_holds,continuous,cornish_fisher,3050,3050,0.5,1,200000,,0.94914,0.0004912904456632553,0.14198058988324938,1.2935048953732887e-16,-0.024101757585994754,,,,
parity_det,parity_holds,continuous,calibrated,3050,3050,0.5,1,200000,,0.95299,0.0004732866990524876,0.14460983676599815,1.2935048953732887e-16,-0.024101757585994754,,,,
parity_det,parity_holds,continuous,gaussian,3100,3100,0.5,1,200000,,0.95049,0.0004850709221340733,0.14083077511204847,1.0023041082204264e-16,-0.055863219867629876,,,,
parity_det,parity_holds,continuous,cornish_fisher,3100,3100,0.5,1,200000,,0.95049,0.0004850709221340733,0.14083077511204847,1.0023041082204264e-16,-0.055863219867629876,,,,
parity_det,parity_holds,continuous,calibrated,3100,3100,0.5,1,200000,,0.95419,0.0004675010368972459,0.14330911920618108,1.0023041082204264e-16,-0.055863219867629876,,,,
parity_det,parity_holds,continuous,gaussian,3150,3150,0.5,1,200000,,0.95091,0.00048311578270638175,0.13970819113984442,-1.0880312449035939e-16,-0.049675897560818694,,,,
parity_det,parity_holds,continuous,cornish_fisher,3150,3150,0.5,1,200000,,0.95091,0.00048311578270638175,0.13970819113984442,-1.0880312449035939e-16,-0.049675897560818694,,,,
parity_det,parity_holds,continuous,calibrated,3150,3150,0.5,1,200000,,0.95041,0.0004854422308575966,0.13940092350487454,-1.0880312449035939e-16,-0.049675897560818694,,,,
parity_det,parity_holds,continuous,gaussian,3200,3200,0.5,1,200000,,0.9496,0.0004891821746548007,0.13861203488788104,-9.705402419603333e-17,0.009521320611443507,,,,
parity_det,parity_holds,continuous,cornish_fisher,3200,3200,0.5,1,200000,,0.9496,0.0004891821746548007,0.13861203488788104,-9.705402419603333e-17,0.009521320611443507,,,,
parity_det,parity_holds,continuous,calibrated,3200,3200,0.5,1,200000,,0.94803,0.0004963321423200394,0.13757578412544516,-9.705402419603333e-17,0.009521320611443507,,,,
parity_det,parity_holds,continuous,gaussian,3250,3250,0.5,1,200000,,0.94987,0.0004879394588470992,0.1375412506214881,6.679373028264124e-17,-0.11469354348101968,,,,
parity_det,parity_holds,continuous,cornish_fisher,3250,3250,0.5,1,200000,,0.94987,0.0004879394588470992,0.1375412506214881,6.679373028264124e-17,-0.11469354348101968,,,,
parity_det,parity_holds,continuous,calibrated,3250,3250,0.5,1,200000,,0.95061,0.00048451330167499033,0.13798186465345275,6.679373028264124e-17,-0.11469354348101968,,,,
parity_det,parity_holds,continuous,gaussian,3300,3300,0.5,1,200000,,0.95191,0.00047842111105175935,0.13649509278749458,-9.291037870631833e-17,-0.11908403276634294,,,,
parity_det,parity_holds,continuous,cornish_fisher,3300,3300,0.5,1,200000,,0.95191,0.00047842111105175935,0.13649509278749458,-9.291037870631833e-17,-0.11908403276634294,,,,
parity_det,parity_holds,continuous,calibrated,3300,3300,0.5,1,200000,,0.94868,0.0004933875636859934,0.13446455390612078,-9.291037870631833e-17,-0.11908403276634294,,,,
parity_det,parity_holds,continuous,gaussian,3350,3350,0.5,1,200000,,0.95032,0.0004858595352568474,0.1354723765154444,2.7951133055794073e-17,0.01826085614490447,,,,
parity_det,parity_holds,continuous,cornish_fisher,3350,3350,0.5,1,200000,,0.95032,0.0004858595352568474,0.1354723765154444,2.7951133055794073e-17,0.01826085614490447,,,,
parity_det,parity_holds,continuous,calibrated,3350,3350,0.5,1,200000,,0.94764,0.0004980884981607182,0.13378349982589458,2.7951133055794073e-17,0.01826085614490447,,,,
parity_det,parity_holds,continuous,gaussian,3400,3400,0.5,1,200000,,0.94919,0.0004910618285918791,0.13447207879476356,-6.413115166420502e-17,-0.0027735976860019385,,,,
parity_det,parity_holds,continuous,cornish_fisher,3400,3400,0.5,1,200000,,0.94919,0.0004910618285918791,0.13447207879476356,-6.413115166420502e-17,-0.0027735976860019385,,,,
parity_det,parity_holds,continuous,calibrated,3400,3400,0.5,1,200000,,0.94627,0.0005041978138588071,0.1327348758954566,-6.413115166420502e-17,-0.0027735976860019385,,,,
parity_det,parity_holds,continuous,gaussian,3450,3450,0.5,1,200000,,0.9499,0.0004878011377600509,0.1334939326889726,-1.7605453999521866e-16,0.05850822644771103,,,,
parity_det,parity_holds,continuous,cornish_fisher,3450,3450,0.5,1,200000,,0.9499,0.0004878011377600509,0.1334939326889726,-1.7605453999521866e-16,0.05850822644771103,,,,
parity_det,parity_holds,continuous,calibrated,3450,3450,0.5,1,200000,,0.95042,0.00048539583640571103,0.133837728657464,-1.7605453999521866e-16,0.05850822644771103,,,,
parity_det,parity_holds,continuous,gaussian,3500,3500,0.5,1,200000,,0.94886,0.0004925682714101669,0.1325365133956413,-7.752992983890764e-17,-0.08454943619060229,,,,
parity_det,parity_holds,continuous,cornish_fisher,3500,3500,0.5,1,200000,,0.94886,0.0004925682714101669,0.1325365133956413,-7.752992983890764e-17,-0.08454943619060229,,,,
parity_det,parity_holds,continuous,calibrated,3500,3500,0.5,1,200000,,0.94753,0.0004985824861544979,0.13175650507327358,-7.752992983890764e-17,-0.08454943619060229,,,,
parity_det,parity_holds,continuous,gaussian,3550,3550,0.5,1,200000,,0.95096,0.00048288237905311877,0.13159986015424172,5.55960299835159e-18,-0.01287290902177407,,,,
parity_det,parity_holds,continuous,cornish_fisher,3550,3550,0.5,1,200000,,0.95096,0.00048288237905311877,0.13159986015424172,5.55960299835159e-18,-0.01287290902177407,,,,
parity_det,parity_holds,continuous,calibrated,3550,3550,0.5,1,200000,,0.94708,0.0005005970115771766,0.12947057005898194,5.55960299835159e-18,-0.01287290902177407,,,,
parity_det,parity_holds,continuous,gaussian,3600,3600,0.5,1,200000,,0.9505,0.0004850244839180801,0.13068243852711817,8.136974965134104e-17,0.025802903189139137,,,,
parity_det,parity_holds,continuous,cornish_fisher,3600,3600,0.5,1,200000,,0.9505,0.0004850244839180801,0.13068243852711817,8.136974965134104e-17,0.025802903189139137,,,,
parity_det,parity_holds,continuous,calibrated,3600,3600,0.5,1,200000,,0.94823,0.000495428436305386,0.12934057959366474,8.136974965134104e-17,0.025802903189139137,,,,
parity_det,parity_holds,continuous,gaussian,3650,3650,0.5,1,200000,,0.9501,0.0004868777567316053,0.12978397176845205,-5.2522615958943296e-17,-0.033232239800921715,,,,
parity_det,parity_holds,continuous,cornish_fisher,3650,3650,0.5,1,200000,,0.9501,0.0004868777567316053,0.12978397176845205,-5.2522615958943296e-17,-0.033232239800921715,,,,
parity_det,parity_holds,continuous,calibrated,3650,3650,0.5,1,200000,,0.94736,0.0004993447226115443,0.12837476746353102,-5.2522615958943296e-17,-0.033232239800921715,,,,
parity_det,parity_holds,continuous,gaussian,3700,3700,0.5,1,200000,,0.95146,0.0004805406767381926,0.1289039137220271,-3.418888190642304e-16,0.04456808828354575,,,,
parity_det,parity_holds,continuous,cornish_fisher,3700,3700,0.5,1,200000,,0.95146,0.0004805406767381926,0.1289039137220271,-3.418888190642304e-16,0.04456808828354575,,,,
parity_det,parity_holds,continuous,calibrated,3700,3700,0.5,1,200000,,0.95319,0.0004723284021737419,0.12989294839192458,-3.418888190642304e-16,0.04456808828354575,,,,
parity_det,parity_holds,continuous,gaussian,3750,3750,0.5,1,200000,,0.95263,0.00047500570049211,0.12804142490983939,-1.1072966581983181e-16,-0.10980207399477848,,,,
parity_det,parity_holds,continuous,cornish_fisher,3750,3750,0.5,1,200000,,0.95263,0.00047500570049211,0.12804142490983939,-1.1072966581983181e-16,-0.10980207399477848,,,,
parity_det,parity_holds,continuous,calibrated,3750,3750,0.5,1,200000,,0.95177,0.0004790817628547344,0.12756355290509752,-1.1072966581983181e-16,-0.10980207399477848,,,,
parity_det,parity_holds,continuous,gaussian,3800,3800,0.5,1,200000,,0.95046,0.0004852102039322752,0.12719603584379793,1.7268730392583837e-16,0.04523541434763301,,,,
parity_det,parity_holds,continuous,cornish_fisher,3800,3800,0.5,1,200000,,0.95046,0.0004852102039322752,0.12719603584379793,1.7268730392583837e-16,0.04523541434763301,,,,
parity_det,parity_holds,continuous,calibrated,3800,3800,0.5,1,200000,,0.95195,0.00047823214812473674,0.12809881447177557,1.7268730392583837e-16,0.04523541434763301,,,,
