module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
parity_det,parity_holds,continuous,gaussian,3000,3000,0.5,1,200000,,0.99924,6.162071080407881e-05,0.143159420460929,1.6254486663146615e-16,-0.9154998762599424,,,,
parity_det,parity_holds,continuous,cornish_fisher,3000,3000,0.5,1,200000,,0.99924,6.162071080407881e-05,0.143159420460929,1.6254486663146615e-16,-0.9154998762599424,,,,
parity_det,parity_holds,continuous,calibrated,3000,3000,0.5,1,200000,,0.95236,0.0004762899872976547,0.11917462767379913,1.6254486663146615e-16,-0.9154998762599424,,,,
parity_det,parity_holds,continuous,gaussian,3050,3050,0.5,1,200000,,0.99945,5.2426019303397926e-05,0.14198074572538835,-2.5414209892592026e-16,-0.9151088968398979,,,,
parity_det,parity_holds,continuous,cornish_fisher,3050,3050,0.5,1,200000,,0.99945,5.2426019303397926e-05,0.14198074572538835,-2.5414209892592026e-16,-0.9151088968398979,,,,
parity_det,parity_holds,continuous,calibrated,3050,3050,0.5,1,200000,,0.952985,0.00047331062620122966,0.11866083678081837,-2.5414209892592026e-16,-0.9151088968398979,,,,
parity_det,parity_holds,continuous,gaussian,3100,3100,0.5,1,200000,,0.9992,6.322024992041801e-05,0.1408306916769192,-4.575508969499125e-16,-0.9407624207046572,,,,
parity_det,parity_holds,continuous,cornish_fisher,3100,3100,0.5,1,200000,,0.9992,6.322024992041801e-05,0.1408306916769192,-4.575508969499125e-16,-0.9407624207046572,,,,
parity_det,parity_holds,continuous,calibrated,3100,3100,0.5,1,200000,,0.95694,0.0004539043753919981,0.11816302771187713,-4.575508969499125e-16,-0.9407624207046572,,,,
parity_det,parity_holds,continuous,gaussian,3150,3150,0.5,1,200000,,0.94203,0.0005225393722007939,0.13970799211439808,-4.666007174609868e-16,-0.11212406354319837,,,,
parity_det,parity_holds,continuous,cornish_fisher,3150,3150,0.5,1,200000,,0.94203,0.0005225393722007939,0.13970799211439808,-4.666007174609868e-16,-0.11212406354319837,,,,
parity_det,parity_holds,continuous,calibrated,3150,3150,0.5,1,200000,,0.953385,0.0004713917785398891,0.1484254946200447,-4.666007174609868e-16,-0.11212406354319837,,,,
parity_det,parity_holds,continuous,gaussian,3200,3200,0.5,1,200000,,0.96863,0.0003897814971237091,0.13861218068271267,-1.4403401269947552e-16,-0.35463168410161217,,,,
parity_det,parity_holds,continuous,cornish_fisher,3200,3200,0.5,1,200000,,0.96863,0.0003897814971237091,0.13861218068271267,-1.4403401269947552e-16,-0.35463168410161217,,,,
