module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
parity_det,parity_holds,continuous,gaussian,3000,3000,0.5,1,200000,,0.96814,0.00039271452990690325,0.14315945834258312,4.375893170906466e-16,-0.3225348172228868,,,,
parity_det,parity_holds,continuous,cornish_fisher,3000,3000,0.5,1,200000,,0.96814,0.00039271452990690325,0.14315945834258312,4.375893170906466e-16,-0.3225348172228868,,,,
parity_det,parity_holds,continuous,calibrated,3000,3000,0.5,1,200000,,0.951885,0.0004785391665005071,0.129232715986448,4.375893170906466e-16,-0.3225348172228868,,,,
parity_det,parity_holds,continuous,gaussian,3050,3050,0.5,1,200000,,0.96889,0.000388214939820713,0.14198086380674257,2.666886779888894e-16,-0.2850126863744209,,,,
parity_det,parity_holds,continuous,cornish_fisher,3050,3050,0.5,1,200000,,0.96889,0.000388214939820713,0.14198086380674255,2.666886779888894e-16,-0.2850126863744209,,,,
parity_det,parity_holds,continuous,calibrated,3050,3050,0.5,1,200000,,0.95166,0.00047960006463719355,0.1278609480193169,2.666886779888894e-16,-0.2850126863744209,,,,
parity_det,parity_holds,continuous,gaussian,3100,3100,0.5,1,200000,,0.96866,0.0003896011062612633,0.14083067015287282,-5.930120482757939e-16,-0.35535556323578676,,,,
parity_det,parity_holds,continuous,cornish_fisher,3100,3100,0.5,1,200000,,0.96866,0.0003896011062612633,0.14083067015287282,-5.930120482757939e-16,-0.35535556323578676,,,,
parity_det,parity_holds,continuous,calibrated,3100,3100,0.5,1,200000,,0.951495,0.0004803762326291759,0.12710352491791188,-5.930120482757939e-16,-0.35535556323578676,,,,
parity_det,parity_holds,continuous,gaussian,3150,3150,0.5,1,200000,,0.96909,0.00038700498640198416,0.13970821850615145,-5.7186186211854675e-16,-0.30679124086117016,,,,
parity_det,parity_holds,continuous,cornish_fisher,3150,3150,0.5,1,200000,,0.96909,0.00038700498640198416,0.13970821850615145,-5.7186186211854675e-16,-0.30679124086117016,,,,
parity_det,parity_holds,continuous,calibrated,3150,3150,0.5,1,200000,,0.95279,0.00047424263779209045,0.1263665949548421,-5.7186186211854675e-16,-0.30679124086117016,,,,
parity_det,parity_holds,continuous,gaussian,3200,3200,0.5,1,200000,,0.96821,0.00039229705517630374,0.138611963509365,2.90325301931445e-16,-0.34385499206640713,,,,
parity_det,parity_holds,continuous,cornish_fisher,3200,3200,0.5,1,200000,,0.96821,0.00039229705517630374,0.138611963509365,2.90325301931445e-16,-0.34385499206640713,,,,
parity_det,parity_holds,continuous,calibrated,3200,3200,0.5,1,200000,,0.94655,0.0005029567451580702,0.12450032705529315,2.90325301931445e-16,-0.34385499206640713,,,,
parity_det,parity_holds,continuous,gaussian,3250,3250,0.5,1,200000,,0.96832,0.000391639997957308,0.13754126778339437,-2.098230611994523e-16,-0.30796191691592245,,,,
parity_det,parity_holds,continuous,cornish_fisher,3250,3250,0.5,1,200000,,0.96832,0.000391639997957308,0.13754126778339437,-2.098230611994523e-16,-0.30796191691592245,,,,
parity_det,parity_holds,continuous,calibrated,3250,3250,0.5,1,200000,,0.95073,0.0004839548899432675,0.12438028569650715,-2.098230611994523e-16,-0.30796191691592245,,,,
parity_det,parity_holds,continuous,gaussian,3300,3300,0.5,1,200000,,0.96796,0.0003937857183799329,0.13649502055677784,6.013924939603865e-16,-0.27989616207691936,,,,
parity_det,parity_holds,continuous,cornish_fisher,3300,3300,0.5,1,200000,,0.96796,0.0003937857183799329,0.13649502055677784,6.013924939603865e-16,-0.27989616207691936,,,,
parity_det,parity_holds,continuous,calibrated,3300,3300,0.5,1,200000,,0.95311,0.0004727120048190017,0.12426922615614423,6.013924939603865e-16,-0.27989616207691936,,,,
parity_det,parity_holds,continuous,gaussian,3350,3350,0.5,1,200000,,0.96882,0.00038863741199220635,0.135472295625455,3.9528639990859155e-16,-0.2944134332256656,,,,
parity_det,parity_holds,continuous,cornish_fisher,3350,3350,0.5,1,200000,,0.96882,0.00038863741199220635,0.135472295625455,3.9528639990859155e-16,-0.2944134332256656,,,,
parity_det,parity_holds,continuous,calibrated,3350,3350,0.5,1,200000,,0.94907,0.000491610288236526,0.12192236051426815,3.9528639990859155e-16,-0.2944134332256656,,,,
parity_det,parity_holds,continuous,gaussian,3400,3400,0.5,1,200000,,0.96922,0.000386216206288654,0.13447219517580974,2.091594856017205e-16,-0.31185160751281105,,,,
parity_det,parity_holds,continuous,cornish_fisher,3400,3400,0.5,1,200000,,0.96922,0.000386216206288654,0.13447219517580974,2.091594856017205e-16,-0.31185160751281105,,,,
parity_det,parity_holds,continuous,calibrated,3400,3400,0.5,1,200000,,0.95001,0.00048729354551440543,0.12128799041496736,2.091594856017205e-16,-0.31185160751281105,,,,
parity_det,parity_holds,continuous,gaussian,3450,3450,0.5,1,200000,,0.96929,0.0003857907198209932,0.1334940308551111,8.805984828666274e-17,-0.33006271721999303,,,,
parity_det,parity_holds,continuous,cornish_fisher,3450,3450,0.5,1,200000,,0.96929,0.0003857907198209932,0.1334940308551111,8.805984828666274e-17,-0.33006271721999303,,,,
parity_det,parity_holds,continuous,calibrated,3450,3450,0.5,1,200000,,0.953675,0.0004699946509004116,0.12122221487247732,8.805984828666274e-17,-0.33006271721999303,,,,
parity_det,parity_holds,continuous,gaussian,3500,3500,0.5,1,200000,,0.93476,0.0005521944512578878,0.13253676004816223,6.092202654238229e-16,-0.22075805575507967,,,,
parity_det,parity_holds,continuous,cornish_fisher,3500,3500,0.5,1,200000,,0.93476,0.0005521944512578878,0.13253676004816223,6.092202654238229e-16,-0.22075805575507967,,,,
parity_det,parity_holds,continuous,calibrated,3500,3500,0.5,1,200000,,0.95137,0.0004809632163689857,0.13962557099612175,6.092202654238229e-16,-0.22075805575507967,,,,
parity_det,parity_holds,continuous,gaussian,3550,3550,0.5,1,200000,,0.93462,0.0005527452197893709,0.13159983187199664,-1.759523058717844e-17,-0.2606802323224384,,,,
parity_det,parity_holds,continuous,cornish_fisher,3550,3550,0.5,1,200000,,0.93462,0.0005527452197893709,0.13159983187199664,-1.759523058717844e-17,-0.2606802323224384,,,,
parity_det,parity_holds,continuous,calibrated,3550,3550,0.5,1,200000,,0.95205,0.00047775934056803137,0.13886361970951475,-1.759523058717844e-17,-0.2606802323224384,,,,
parity_det,parity_holds,continuous,gaussian,3600,3600,0.5,1,200000,,0.93483,0.0005519187942985814,0.13068250348370747,-4.408219955393474e-16,-0.1847576768174024,,,,
parity_det,parity_holds,continuous,cornish_fisher,3600,3600,0.5,1,200000,,0.93483,0.0005519187942985814,0.13068250348370747,-4.408219955393474e-16,-0.1847576768174024,,,,
parity_det,parity_holds,continuous,calibrated,3600,3600,0.5,1,200000,,0.949495,0.0004896644002528672,0.13718005579675865,-4.408219955393474e-16,-0.1847576768174024,,,,
parity_det,parity_holds,continuous,gaussian,3650,3650,0.5,1,200000,,0.93473,0.0005523125342593632,0.12978404349856518,-5.361240367029934e-16,-0.2165283003644798,,,,
parity_det,parity_holds,continuous,cornish_fisher,3650,3650,0.5,1,200000,,0.93473,0.0005523125342593632,0.12978404349856518,-5.361240367029934e-16,-0.2165283003644798,,,,
parity_det,parity_holds,continuous,calibrated,3650,3650,0.5,1,200000,,0.94866,0.0004934784919325262,0.13599267474947185,-5.361240367029934e-16,-0.2165283003644798,,,,
parity_det,parity_holds,continuous,gaussian,3700,3700,0.5,1,200000,,0.93465,0.0005526272590996576,0.12890381312662458,6.120981226487618e-16,-0.2952304627014599,,,,
parity_det,parity_holds,continuous,cornish_fisher,3700,3700,0.5,1,200000,,0.93465,0.0005526272590996576,0.12890381312662458,6.120981226487618e-16,-0.2952304627014599,,,,
parity_det,parity_holds,continuous,calibrated,3700,3700,0.5,1,200000,,0.95106,0.0004824151552345758,0.1357539319367771,6.120981226487618e-16,-0.2952304627014599,,,,
parity_det,parity_holds,continuous,gaussian,3750,3750,0.5,1,200000,,0.93327,0.0005580192967093521,0.1280412101896014,2.6402659061848114e-16,-0.24719453901489752,,,,
parity_det,parity_holds,continuous,cornish_fisher,3750,3750,0.5,1,200000,,0.93327,0.0005580192967093521,0.12804121018960143,2.6402659061848114e-16,-0.24719453901489752,,,,
parity_det,parity_holds,continuous,calibrated,3750,3750,0.5,1,200000,,0.946645,0.0005025347946908753,0.13368472042665772,2.6402659061848114e-16,-0.24719453901489752,,,,
parity_det,parity_holds,continuous,gaussian,3800,3800,0.5,1,200000,,0.93475,0.0005522338159692868,0.12719595033861705,1.0350417894867422e-16,-0.23110666865184815,,,,
parity_det,parity_holds,continuous,cornish_fisher,3800,3800,0.5,1,200000,,0.93475,0.0005522338159692868,0.12719595033861705,1.0350417894867422e-16,-0.23110666865184815,,,,
parity_det,parity_holds,continuous,calibrated,3800,3800,0.5,1,200000,,0.95149,0.00048039972887169727,0.1339335236077056,1.0350417894867422e-16,-0.23110666865184815,,,,
parity_det,parity_fails,continuous,gaussian,3000,3000,0.8,1,200000,,0.910275,0.0006390400002151667,0.16537255997687744,0.33944465780848365,-0.6309651675926591,,,,
parity_det,parity_fails,continuous,cornish_fisher,3000,3000,0.8,1,200000,,0.88494,0.0007135166304999486,0.16537255997687741,0.33944465780848365,-0.6309651675926591,,,,
parity_det,parity_fails,continuous,calibrated,3000,3000,0.8,1,200000,,0.94724,0.00049988189805193,0.16643743057514243,0.33944465780848365,-0.6309651675926591,,,,
parity_det,parity_fails,continuous,gaussian,3050,3050,0.8,1,200000,,0.91,0.0006399218702310462,0.1639123023164258,0.33274855498240974,-0.6085600381319254,,,,
parity_det,parity_fails,continuous,cornish_fisher,3050,3050,0.8,1,200000,,0.885595,0.0007117460782294483,0.16391230231642584,0.33274855498240974,-0.6085600381319254,,,,
parity_det,parity_fails,continuous,calibrated,3050,3050,0.8,1,200000,,0.949445,0.000489893825103971,0.16544208697298743,0.33274855498240974,-0.6085600381319254,,,,
parity_det,parity_fails,continuous,gaussian,3100,3100,0.8,1,200000,,0.909725,0.0006408019365412373,0.16266330619289604,0.34039481927138876,-0.6207843643523492,,,,
parity_det,parity_fails,continuous,cornish_fisher,3100,3100,0.8,1,200000,,0.885255,0.0007126660682781242,0.16266330619289607,0.34039481927138876,-0.6207843643523492,,,,
parity_det,parity_fails,continuous,calibrated,3100,3100,0.8,1,200000,,0.95081,0.00048358217450605005,0.1650718371096444,0.34039481927138876,-0.6207843643523492,,,,
parity_det,parity_fails,continuous,gaussian,3150,3150,0.8,1,200000,,0.910955,0.0006368515838678586,0.16129826416238174,0.3420903888664128,-0.6007369849992958,,,,
parity_det,parity_fails,continuous,cornish_fisher,3150,3150,0.8,1,200000,,0.886425,0.0007094917877431704,0.16129826416238174,0.3420903888664128,-0.6007369849992958,,,,
parity_det,parity_fails,continuous,calibrated,3150,3150,0.8,1,200000,,0.94798,0.0004965577489074154,0.16310465882037167,0.3420903888664128,-0.6007369849992958,,,,
parity_det,parity_fails,continuous,gaussian,3200,3200,0.8,1,200000,,0.91066,0.00063780233771914,0.16023560174053297,0.3677988139589623,-0.5918955794441652,,,,
parity_det,parity_fails,continuous,cornish_fisher,3200,3200,0.8,1,200000,,0.883835,0.000716486890232473,0.16023560174053303,0.3677988139589623,-0.5918955794441652,,,,
parity_det,parity_fails,continuous,calibrated,3200,3200,0.8,1,200000,,0.947995,0.000496490080338973,0.16172024795570772,0.3677988139589623,-0.5918955794441652,,,,
parity_det,parity_fails,continuous,gaussian,3250,3250,0.8,1,200000,,0.91177,0.0006342139508872382,0.15919309924808075,0.33089491543578786,-0.6341532818718183,,,,
parity_det,parity_fails,continuous,cornish_fisher,3250,3250,0.8,1,200000,,0.887965,0.0007052771043178702,0.15919309924808075,0.33089491543578786,-0.6341532818718183,,,,
parity_det,parity_fails,continuous,calibrated,3250,3250,0.8,1,200000,,0.950595,0.0004845830474490417,0.16144531479234406,0.33089491543578786,-0.6341532818718183,,,,
parity_det,parity_fails,continuous,gaussian,3300,3300,0.8,1,200000,,0.91085,0.00063719022866017,0.15757258177761957,0.34942749152942454,-0.6199963290794064,,,,
parity_det,parity_fails,continuous,cornish_fisher,3300,3300,0.8,1,200000,,0.885695,0.0007114751119153782,0.15757258177761962,0.34942749152942454,-0.6199963290794064,,,,
parity_det,parity_fails,continuous,calibrated,3300,3300,0.8,1,200000,,0.948695,0.0004933193538419106,0.15892056948781713,0.34942749152942454,-0.6199963290794064,,,,
parity_det,parity_fails,continuous,gaussian,3350,3350,0.8,1,200000,,0.911255,0.0006358825558819804,0.15674432217725595,0.34189388459930753,-0.6010415035971981,,,,
parity_det,parity_fails,continuous,cornish_fisher,3350,3350,0.8,1,200000,,0.886995,0.0007079366849337587,0.156744322177256,0.34189388459930753,-0.6010415035971981,,,,
parity_det,parity_fails,continuous,calibrated,3350,3350,0.8,1,200000,,0.9524,0.0004760999894980044,0.15990974868204552,0.34189388459930753,-0.6010415035971981,,,,
parity_det,parity_fails,continuous,gaussian,3400,3400,0.8,1,200000,,0.911105,0.0006363673427156675,0.15543242180534825,0.33309517646457426,-0.6407557453604622,,,,
parity_det,parity_fails,continuous,cornish_fisher,3400,3400,0.8,1,200000,,0.88783,0.000705648251964107,0.15543242180534825,0.33309517646457426,-0.6407557453604622,,,,
parity_det,parity_fails,continuous,calibrated,3400,3400,0.8,1,200000,,0.950145,0.00048666969792149573,0.157413430854859,0.33309517646457426,-0.6407557453604622,,,,
parity_det,parity_fails,continuous,gaussian,3450,3450,0.8,1,200000,,0.912185,0.0006328646212856268,0.15451990035124152,0.3374964203360571,-0.632311638650433,,,,
