module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
parity,parity_holds,continuous,gaussian,200,200,0.5,80,800,,0.949140625,0.0008684819638186345,0.5526841510814163,-0.004972658905350954,,,,,
parity,parity_holds,continuous,cornish_fisher,200,200,0.5,80,800,,0.9491875,0.0008681030850703125,0.5526841510814163,-0.004972658905350954,,,,,
parity,parity_holds,continuous,calibrated,200,200,0.5,80,800,,0.95096875,0.0008535512810773062,0.5590606245339342,-0.004972658905350954,,,,,
parity,parity_holds,continuous,gaussian,400,400,0.5,80,800,,0.951109375,0.0008523893970325907,0.39246334591752197,0.0060033142589381566,,,,,
parity,parity_holds,continuous,cornish_fisher,400,400,0.5,80,800,,0.950578125,0.0008567685771939484,0.392463345917522,0.0060033142589381566,,,,,
parity,parity_holds,continuous,calibrated,400,400,0.5,80,800,,0.950234375,0.000859587542520025,0.39273940595517937,0.0060033142589381566,,,,,
parity,parity_holds,continuous,gaussian,800,800,0.5,80,800,,0.948828125,0.0008710026030474195,0.2792706756918188,0.0014246985157377323,,,,,
parity,parity_holds,continuous,cornish_fisher,800,800,0.5,80,800,,0.948765625,0.0008715056459437689,0.2792706756918188,0.0014246985157377323,,,,,
parity,parity_holds,continuous,calibrated,800,800,0.5,80,800,,0.949,0.0008696173727565478,0.28127083948139,0.0014246985157377323,,,,,
parity,parity_holds,continuous,gaussian,1200,1200,0.5,80,800,,0.949578125,0.0008649377643930185,0.22775567799072616,0.0011024306672646291,,,,,
parity,parity_holds,continuous,cornish_fisher,1200,1200,0.5,80,800,,0.949515625,0.0008654451788030413,0.22775567799072616,0.0011024306672646291,,,,,
parity,parity_holds,continuous,calibrated,1200,1200,0.5,80,800,,0.94959375,0.0008648108532445972,0.229107616430873,0.0011024306672646291,,,,,
parity,parity_fails,continuous,gaussian,200,200,0.7,80,800,,0.942421875,0.0009207918172139638,1.916885948275342,0.2980486159179263,,,,,
parity,parity_fails,continuous,cornish_fisher,200,200,0.7,80,800,,0.931953125,0.0009954309509793856,1.9168859482753422,0.2980486159179263,,,,,
parity,parity_fails,continuous,calibrated,200,200,0.7,80,800,,0.94953125,0.0008653183597078362,1.9401873375010006,0.2980486159179263,,,,,
parity,parity_fails,continuous,gaussian,400,400,0.7,80,800,,0.946375,0.0008904823076481506,1.4740513819741445,0.26036555212426327,,,,,
parity,parity_fails,continuous,cornish_fisher,400,400,0.7,80,800,,0.938765625,0.0009477335325524599,1.4740513819741443,0.26036555212426327,,,,,
parity,parity_fails,continuous,calibrated,400,400,0.7,80,800,,0.94946875,0.000865825498200972,1.4512654670152478,0.26036555212426327,,,,,
parity,parity_fails,continuous,gaussian,800,800,0.7,80,800,,0.94934375,0.0008668386738598036,1.0735498526259355,0.24603963067445972,,,,,
parity,parity_fails,continuous,cornish_fisher,800,800,0.7,80,800,,0.94178125,0.0009255853481415616,1.0735498526259355,0.24603963067445972,,,,,
parity,parity_fails,continuous,calibrated,800,800,0.7,80,800,,0.95040625,0.0008581794862612648,1.0702614270514064,0.24603963067445972,,,,,
parity,parity_fails,continuous,gaussian,1200,1200,0.7,80,800,,0.946015625,0.0008932915105091968,0.8731194965103591,0.24748719498219987,,,,,
parity,parity_fails,continuous,cornish_fisher,1200,1200,0.7,80,800,,0.940015625,0.0009386347279082009,0.8731194965103592,0.24748719498219987,,,,,
parity,parity_fails,continuous,calibrated,1200,1200,0.7,80,800,,0.950953125,0.0008536802593471254,0.8860358256190245,0.24748719498219987,,,,,
