module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
parity,parity_holds,continuous,gaussian,2800,2800,0.5,1280,25600,,0.949941162109375,3.8094630674417236e-05,0.14807622684484845,-0.0008963297898704805,,,,,
parity,parity_holds,continuous,cornish_fisher,2800,2800,0.5,1280,25600,,0.9499288330078125,3.809907434824999e-05,0.14807622684484845,-0.0008963297898704805,,,,,
parity,parity_holds,continuous,calibrated,2800,2800,0.5,1280,25600,,0.9500703735351562,3.8048021537654736e-05,0.14820344474833927,-0.0008963297898704805,,,,,
parity,parity_holds,continuous,gaussian,3200,3200,0.5,1280,25600,,0.94987255859375,3.811934873599531e-05,0.13861955199314813,-4.749567471277314e-05,,,,,
parity,parity_holds,continuous,cornish_fisher,3200,3200,0.5,1280,25600,,0.9498604125976563,3.812372291400787e-05,0.13861955199314813,-4.749567471277314e-05,,,,,
parity,parity_holds,continuous,calibrated,3200,3200,0.5,1280,25600,,0.949949951171875,3.809146251608887e-05,0.13871071506362878,-4.749567471277314e-05,,,,,
parity,parity_holds,continuous,gaussian,3600,3600,0.5,1280,25600,,0.9499159851074219,3.810370432743032e-05,0.1306353498312051,0.00035775741131272487,,,,,
parity,parity_holds,continuous,cornish_fisher,3600,3600,0.5,1280,25600,,0.9499020690917969,3.810871843801035e-05,0.1306353498312051,0.00035775741131272487,,,,,
parity,parity_holds,continuous,calibrated,3600,3600,0.5,1280,25600,,0.95000244140625,3.807253479255392e-05,0.13071502890515826,0.00035775741131272487,,,,,
parity,parity_holds,continuous,gaussian,4000,4000,0.5,1280,25600,,0.9499193115234374,3.8102505658386686e-05,0.12401105330553397,0.0001354673125918586,,,,,
parity,parity_holds,continuous,cornish_fisher,4000,4000,0.5,1280,25600,,0.9499060363769531,3.8107289059697774e-05,0.12401105330553397,0.0001354673125918586,,,,,
parity,parity_holds,continuous,calibrated,4000,4000,0.5,1280,25600,,0.9498847045898438,3.811497393787089e-05,0.12402373503281929,0.0001354673125918586,,,,,
parity,parity_holds,continuous,gaussian,4400,4400,0.5,1280,25600,,0.9498803100585937,3.811655685100972e-05,0.11810475081315114,5.734653800733237e-05,,,,,
parity,parity_holds,continuous,cornish_fisher,4400,4400,0.5,1280,25600,,0.9498656311035156,3.812184363208376e-05,0.11810475081315112,5.734653800733237e-05,,,,,
parity,parity_holds,continuous,calibrated,4400,4400,0.5,1280,25600,,0.9499617004394532,3.8087226796140255e-05,0.11817911028946476,5.734653800733237e-05,,,,,
parity,parity_holds,continuous,gaussian,4800,4800,0.5,1280,25600,,0.9499354248046875,3.809669860226269e-05,0.11322463787233003,9.159174326233614e-05,,,,,
parity,parity_holds,continuous,cornish_fisher,4800,4800,0.5,1280,25600,,0.9499327087402344,3.809767751976178e-05,0.11322463787233004,9.159174326233614e-05,,,,,
parity,parity_holds,continuous,calibrated,4800,4800,0.5,1280,25600,,0.9499312438964844,3.8098205462373074e-05,0.11325120046044332,9.159174326233614e-05,,,,,
parity,parity_fails,continuous,gaussian,2800,2800,0.7,1280,25600,,0.9482930603027344,3.8683052395267604e-05,0.587226164306042,0.20137903016113223,,,,,
parity,parity_fails,continuous,cornish_fisher,2800,2800,0.7,1280,25600,,0.9447273559570313,3.991934421385494e-05,0.5872261643060421,0.20137903016113223,,,,,
parity,parity_fails,continuous,calibrated,2800,2800,0.7,1280,25600,,0.9500014343261719,3.807289805005405e-05,0.5887112486842253,0.20137903016113223,,,,,
parity,parity_fails,continuous,gaussian,3200,3200,0.7,1280,25600,,0.9484404602050781,3.863087854228511e-05,0.547468134692224,0.19319533911046,,,,,
parity,parity_fails,continuous,cornish_fisher,3200,3200,0.7,1280,25600,,0.9451907653808593,3.976139713051041e-05,0.547468134692224,0.19319533911046,,,,,
parity,parity_fails,continuous,calibrated,3200,3200,0.7,1280,25600,,0.9501937255859375,3.800346015156549e-05,0.5492057853389313,0.19319533911046,,,,,
parity,parity_fails,continuous,gaussian,3600,3600,0.7,1280,25600,,0.948465087890625,3.862215275049673e-05,0.5182281451739906,0.19031341510871275,,,,,
parity,parity_fails,continuous,cornish_fisher,3600,3600,0.7,1280,25600,,0.9453423156738281,3.9709571046060456e-05,0.5182281451739906,0.19031341510871275,,,,,
parity,parity_fails,continuous,calibrated,3600,3600,0.7,1280,25600,,0.9500328369140625,3.8061569006680085e-05,0.5199640074394579,0.19031341510871275,,,,,
parity,parity_fails,continuous,gaussian,4000,4000,0.7,1280,25600,,0.9486148376464844,3.856904235181832e-05,0.4908625950735587,0.1810479580781224,,,,,
parity,parity_fails,continuous,cornish_fisher,4000,4000,0.7,1280,25600,,0.9457844543457031,3.955788237320454e-05,0.49086259507355867,0.1810479580781224,,,,,
parity,parity_fails,continuous,calibrated,4000,4000,0.7,1280,25600,,0.9500065307617187,3.807105970298213e-05,0.4920530079472633,0.1810479580781224,,,,,
parity,parity_fails,continuous,gaussian,4400,4400,0.7,1280,25600,,0.9487749633789062,3.8512151309293166e-05,0.46778079195592587,0.17765613711845804,,,,,
parity,parity_fails,continuous,cornish_fisher,4400,4400,0.7,1280,25600,,0.9460870971679688,3.945362845449782e-05,0.46778079195592587,0.17765613711845804,,,,,
parity,parity_fails,continuous,calibrated,4400,4400,0.7,1280,25600,,0.9500418701171875,3.805830934660383e-05,0.46913534035990345,0.17765613711845804,,,,,
parity,parity_fails,continuous,gaussian,4800,4800,0.7,1280,25600,,0.9489129333496094,3.846304817845958e-05,0.45131413172875506,0.17301101051155648,,,,,
parity,parity_fails,continuous,cornish_fisher,4800,4800,0.7,1280,25600,,0.9463188171386718,3.9373571351475745e-05,0.45131413172875506,0.17301101051155648,,,,,
parity,parity_fails,continuous,calibrated,4800,4800,0.7,1280,25600,,0.9500194091796875,3.806641381059321e-05,0.4517790254657083,0.17301101051155648,,,,,
