module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
parity,parity_holds,continuous,gaussian,200,200,0.5,640,12800,,0.949764404296875,7.631655380839783e-05,0.9222756600981493,-0.0001362494379341028,,,,,
parity,parity_holds,continuous,cornish_fisher,200,200,0.5,640,12800,,0.9497373046875,7.633604645789005e-05,0.9222756600981493,-0.0001362494379341028,,,,,
parity,parity_holds,continuous,calibrated,200,200,0.5,640,12800,,0.950041259765625,7.611705920952413e-05,0.922037845254204,-0.0001362494379341028,,,,,
parity,parity_holds,continuous,gaussian,400,400,0.5,640,12800,,0.9500531005859375,7.610851263127101e-05,0.6493558844005632,0.00028797090673166184,,,,,
parity,parity_holds,continuous,cornish_fisher,400,400,0.5,640,12800,,0.950013916015625,7.613679111291677e-05,0.6493558844005631,0.00028797090673166184,,,,,
parity,parity_holds,continuous,calibrated,400,400,0.5,640,12800,,0.950231689453125,7.597946516963626e-05,0.6497358585807395,0.00028797090673166184,,,,,
parity,parity_holds,continuous,gaussian,800,800,0.5,640,12800,,0.9502127685546875,7.599315012556246e-05,0.46889161444575733,0.00015174086421173926,,,,,
parity,parity_holds,continuous,cornish_fisher,800,800,0.5,640,12800,,0.9502054443359375,7.599844671190462e-05,0.46889161444575733,0.00015174086421173926,,,,,
parity,parity_holds,continuous,calibrated,800,800,0.5,640,12800,,0.9497506103515625,7.632647651143098e-05,0.468067811738585,0.00015174086421173926,,,,,
parity,parity_holds,continuous,gaussian,1200,1200,0.5,640,12800,,0.9501871337890625,7.60116861861639e-05,0.3847796234055203,-0.0006785104637883167,,,,,
parity,parity_holds,continuous,cornish_fisher,1200,1200,0.5,640,12800,,0.9501700439453125,7.602404046290298e-05,0.3847796234055203,-0.0006785104637883167,,,,,
parity,parity_holds,continuous,calibrated,1200,1200,0.5,640,12800,,0.9500433349609375,7.611556144120875e-05,0.3844686433367416,-0.0006785104637883167,,,,,
parity,parity_holds,continuous,gaussian,1600,1600,0.5,640,12800,,0.9503751220703125,7.587562536757631e-05,0.3368916342395325,-0.0008559010575705411,,,,,
parity,parity_holds,continuous,cornish_fisher,1600,1600,0.5,640,12800,,0.9503724365234375,7.58775712116646e-05,0.3368916342395325,-0.0008559010575705411,,,,,
parity,parity_holds,continuous,calibrated,1600,1600,0.5,640,12800,,0.94991064453125,7.621125739735786e-05,0.3359645328615981,-0.0008559010575705411,,,,,
