module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
parity,parity_holds,continuous,gaussian,200,200,0.5,640,12800,,0.9490950927734375,7.679619757999925e-05,0.5191225449807647,-0.0011049520591588974,,,,,
parity,parity_holds,continuous,cornish_fisher,200,200,0.5,640,12800,,0.9498076171875,7.628545820026995e-05,0.5191225449807647,-0.0011049520591588974,,,,,
parity,parity_holds,continuous,calibrated,200,200,0.5,640,12800,,0.9569046630859375,7.095034373189855e-05,0.513262555307371,-0.0011049520591588974,,,,,
parity,parity_holds,continuous,gaussian,400,400,0.5,640,12800,,0.9498995361328125,7.621926201290593e-05,0.3831082357760137,0.002410995850532602,,,,,
parity,parity_holds,continuous,cornish_fisher,400,400,0.5,640,12800,,0.950713134765625,7.56302217251881e-05,0.3831082357760137,0.002410995850532602,,,,,
parity,parity_holds,continuous,calibrated,400,400,0.5,640,12800,,0.9525841064453126,7.425379648949125e-05,0.3819802548246591,0.002410995850532602,,,,,
parity,parity_holds,continuous,gaussian,800,800,0.5,640,12800,,0.950318115234375,7.591691713379584e-05,0.27376206415362886,0.0013835108124622205,,,,,
parity,parity_holds,continuous,cornish_fisher,800,800,0.5,640,12800,,0.950523193359375,7.576824328237119e-05,0.2737620641536289,0.0013835108124622205,,,,,
parity,parity_holds,continuous,calibrated,800,800,0.5,640,12800,,0.9509952392578125,7.542465566689247e-05,0.2733018761258827,0.0013835108124622205,,,,,
parity,parity_holds,continuous,gaussian,1200,1200,0.5,640,12800,,0.9501234130859375,7.605773739700944e-05,0.22369683459807058,0.0007230775279476526,,,,,
parity,parity_holds,continuous,cornish_fisher,1200,1200,0.5,640,12800,,0.9504285888671875,7.583687257258889e-05,0.2236968345980706,0.0007230775279476526,,,,,
parity,parity_holds,continuous,calibrated,1200,1200,0.5,640,12800,,0.9508603515625,7.552303252010327e-05,0.22345478834536908,0.0007230775279476526,,,,,
parity,parity_holds,continuous,gaussian,1600,1600,0.5,640,12800,,0.9502562255859375,7.596171434369666e-05,0.19386274478614737,-0.0011757947071593972,,,,,
parity,parity_holds,continuous,cornish_fisher,1600,1600,0.5,640,12800,,0.950297119140625,7.593211826162874e-05,0.19386274478614743,-0.0011757947071593972,,,,,
parity,parity_holds,continuous,calibrated,1600,1600,0.5,640,12800,,0.9507447509765625,7.560721758510561e-05,0.1937516990302002,-0.0011757947071593972,,,,,
parity,parity_holds,continuous,gaussian,2000,2000,0.5,640,12800,,0.9502945556640625,7.593397395628657e-05,0.17474531739031188,-0.0013159330956995056,,,,,
parity,parity_holds,continuous,cornish_fisher,2000,2000,0.5,640,12800,,0.9501849365234375,7.601327473193241e-05,0.17474531739031188,-0.0013159330956995056,,,,,
parity,parity_holds,continuous,calibrated,2000,2000,0.5,640,12800,,0.9506568603515625,7.567114602722281e-05,0.1747516945656728,-0.0013159330956995056,,,,,
parity,parity_holds,continuous,gaussian,2400,2400,0.5,640,12800,,0.9501107177734375,7.606690824187383e-05,0.16073541073346737,0.00016134848152677544,,,,,
parity,parity_holds,continuous,cornish_fisher,2400,2400,0.5,640,12800,,0.9500897216796875,7.608207241496985e-05,0.16073541073346737,0.00016134848152677544,,,,,
parity,parity_holds,continuous,calibrated,2400,2400,0.5,640,12800,,0.9505484619140625,7.574989965803399e-05,0.16076871217739105,0.00016134848152677544,,,,,
parity,parity_fails,continuous,gaussian,200,200,0.7,640,12800,,0.9424427490234375,8.137341426050078e-05,2.065743835089474,0.28829323578839877,,,,,
parity,parity_fails,continuous,cornish_fisher,200,200,0.7,640,12800,,0.9323828125,8.77264810664181e-05,2.065743835089474,0.28829323578839877,,,,,
parity,parity_fails,continuous,calibrated,200,200,0.7,640,12800,,0.949919921875,7.620457142811203e-05,2.0476128322418914,0.28829323578839877,,,,,
parity,parity_fails,continuous,gaussian,400,400,0.7,640,12800,,0.9443992919921875,8.006136964710763e-05,1.483119111064695,0.2847205082912755,,,,,
parity,parity_fails,continuous,cornish_fisher,400,400,0.7,640,12800,,0.935890625,8.558119533951891e-05,1.4831191110646953,0.2847205082912755,,,,,
parity,parity_fails,continuous,calibrated,400,400,0.7,640,12800,,0.9500106201171875,7.613916908569852e-05,1.4814186145403494,0.2847205082912755,,,,,
parity,parity_fails,continuous,gaussian,800,800,0.7,640,12800,,0.946515869140625,7.861066123785601e-05,1.0866528276520748,0.25728466333575717,,,,,
parity,parity_fails,continuous,cornish_fisher,800,800,0.7,640,12800,,0.9399134521484375,8.303048743154925e-05,1.0866528276520748,0.25728466333575717,,,,,
parity,parity_fails,continuous,calibrated,800,800,0.7,640,12800,,0.9500994873046875,7.607501977519345e-05,1.0872899813332983,0.25728466333575717,,,,,
parity,parity_fails,continuous,gaussian,1200,1200,0.7,640,12800,,0.9468499755859375,7.837857232972028e-05,0.8820507621552526,0.24538571159751008,,,,,
parity,parity_fails,continuous,cornish_fisher,1200,1200,0.7,640,12800,,0.9413349609375,8.210447048736543e-05,0.8820507621552526,0.24538571159751008,,,,,
parity,parity_fails,continuous,calibrated,1200,1200,0.7,640,12800,,0.9498497314453125,7.625513808138481e-05,0.8853252183109492,0.24538571159751008,,,,,
parity,parity_fails,continuous,gaussian,1600,1600,0.7,640,12800,,0.94738232421875,7.800698584676327e-05,0.7656937129787991,0.23268172299772605,,,,,
parity,parity_fails,continuous,cornish_fisher,1600,1600,0.7,640,12800,,0.9424599609375,8.136198935267054e-05,0.7656937129787991,0.23268172299772605,,,,,
parity,parity_fails,continuous,calibrated,1600,1600,0.7,640,12800,,0.9500618896484375,7.610216801332165e-05,0.7688858966582752,0.23268172299772605,,,,,
parity,parity_fails,continuous,gaussian,2000,2000,0.7,640,12800,,0.9479482421875,7.760952782185672e-05,0.6921248079920652,0.21380782129207815,,,,,
parity,parity_fails,continuous,cornish_fisher,2000,2000,0.7,640,12800,,0.943802734375,8.04642997565484e-05,0.6921248079920653,0.21380782129207815,,,,,
parity,parity_fails,continuous,calibrated,2000,2000,0.7,640,12800,,0.949998046875,7.614823976958055e-05,0.6925930195749627,0.21380782129207815,,,,,
parity,parity_fails,continuous,gaussian,2400,2400,0.7,640,12800,,0.9482095947265625,7.742511439603801e-05,0.6408455853027819,0.2071826696746914,,,,,
parity,parity_fails,continuous,cornish_fisher,2400,2400,0.7,640,12800,,0.944241943359375,8.016789614490657e-05,0.6408455853027819,0.2071826696746914,,,,,
parity,parity_fails,continuous,calibrated,2400,2400,0.7,640,12800,,0.9498641357421875,7.624476430293551e-05,0.6405486995229543,0.2071826696746914,,,,,
