module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
parity,parity_holds,continuous,gaussian,200,200,0.5,640,12800,,0.9492615966796875,7.667722411416405e-05,0.5233931785505379,-0.0010709744302473422,,,,,
parity,parity_holds,continuous,cornish_fisher,200,200,0.5,640,12800,,0.9500899658203125,7.608189610880811e-05,0.5233931785505379,-0.0010709744302473422,,,,,
parity,parity_holds,continuous,calibrated,200,200,0.5,640,12800,,0.956908447265625,7.094736889063856e-05,0.5177083659199163,-0.0010709744302473422,,,,,
parity,parity_holds,continuous,gaussian,400,400,0.5,640,12800,,0.950009765625,7.613978558219426e-05,0.37924761480964586,-7.114847603549618e-05,,,,,
parity,parity_holds,continuous,cornish_fisher,400,400,0.5,640,12800,,0.950775634765625,7.558473804090926e-05,0.37924761480964586,-7.114847603549618e-05,,,,,
parity,parity_holds,continuous,calibrated,400,400,0.5,640,12800,,0.9525791015625,7.425752016058997e-05,0.37811865276048445,-7.114847603549618e-05,,,,,
parity,parity_holds,continuous,gaussian,800,800,0.5,640,12800,,0.950277099609375,7.594660886675895e-05,0.2696299210117701,-0.00019329432072963013,,,,,
parity,parity_holds,continuous,cornish_fisher,800,800,0.5,640,12800,,0.950423828125,7.584032415362623e-05,0.26962992101177014,-0.00019329432072963013,,,,,
parity,parity_holds,continuous,calibrated,800,800,0.5,640,12800,,0.9509053955078125,7.549019841270487e-05,0.26908096542392335,-0.00019329432072963013,,,,,
parity,parity_holds,continuous,gaussian,1200,1200,0.5,640,12800,,0.949967041015625,7.617060255318829e-05,0.2235651202335608,-0.001679533487643983,,,,,
parity,parity_holds,continuous,cornish_fisher,1200,1200,0.5,640,12800,,0.9502535400390625,7.596365746947157e-05,0.2235651202335608,-0.001679533487643983,,,,,
parity,parity_holds,continuous,calibrated,1200,1200,0.5,640,12800,,0.95087109375,7.551520375803805e-05,0.22344286323737822,-0.001679533487643983,,,,,
parity,parity_holds,continuous,gaussian,1600,1600,0.5,640,12800,,0.9499910888671875,7.615325889511912e-05,0.1951819971897559,0.002342105903629403,,,,,
parity,parity_holds,continuous,cornish_fisher,1600,1600,0.5,640,12800,,0.9500577392578125,7.610516416426091e-05,0.19518199718975598,0.002342105903629403,,,,,
parity,parity_holds,continuous,calibrated,1600,1600,0.5,640,12800,,0.9505792236328126,7.572756090275041e-05,0.19516217013114792,0.002342105903629403,,,,,
parity,parity_holds,continuous,gaussian,2000,2000,0.5,640,12800,,0.950267822265625,7.595332286940283e-05,0.17427412461708155,0.0011022346247721042,,,,,
parity,parity_holds,continuous,cornish_fisher,2000,2000,0.5,640,12800,,0.9501177978515625,7.606179390051709e-05,0.1742741246170816,0.0011022346247721042,,,,,
parity,parity_holds,continuous,calibrated,2000,2000,0.5,640,12800,,0.9506021728515625,7.571089019566503e-05,0.1742778925173105,0.0011022346247721042,,,,,
parity,parity_holds,continuous,gaussian,2400,2400,0.5,640,12800,,0.9500625,7.610172739060995e-05,0.15915671460319636,0.0007506566025992593,,,,,
parity,parity_holds,continuous,cornish_fisher,2400,2400,0.5,640,12800,,0.9500511474609376,7.610992245772029e-05,0.15915671460319636,0.0007506566025992593,,,,,
parity,parity_holds,continuous,calibrated,2400,2400,0.5,640,12800,,0.950393798828125,7.586209120488845e-05,0.1590877098626209,0.0007506566025992593,,,,,
parity,parity_holds,continuous,gaussian,3200,3200,0.5,640,12800,,0.9501258544921874,7.605597361656373e-05,0.13818232660102794,-0.0013631823577295657,,,,,
parity,parity_holds,continuous,cornish_fisher,3200,3200,0.5,640,12800,,0.95001708984375,7.613450112654173e-05,0.138182326601028,-0.0013631823577295657,,,,,
parity,parity_holds,continuous,calibrated,3200,3200,0.5,640,12800,,0.950337158203125,7.59031268185424e-05,0.13815496435004318,-0.0013631823577295657,,,,,
parity,parity_holds,continuous,gaussian,4000,4000,0.5,640,12800,,0.9502259521484375,7.598361512256345e-05,0.12358408842431975,-0.001531735387882485,,,,,
parity,parity_holds,continuous,cornish_fisher,4000,4000,0.5,640,12800,,0.9502679443359375,7.595323453201403e-05,0.12358408842431977,-0.001531735387882485,,,,,
parity,parity_holds,continuous,calibrated,4000,4000,0.5,640,12800,,0.95071630859375,7.562791281808369e-05,0.12367787977364378,-0.001531735387882485,,,,,
parity,parity_holds,continuous,gaussian,5000,5000,0.5,640,12800,,0.95014697265625,7.604071480887196e-05,0.11100077569171464,-0.0011911735603937297,,,,,
parity,parity_holds,continuous,cornish_fisher,5000,5000,0.5,640,12800,,0.9500380859375,7.611934984364394e-05,0.11100077569171463,-0.0011911735603937297,,,,,
parity,parity_holds,continuous,calibrated,5000,5000,0.5,640,12800,,0.9502572021484375,7.596100773730838e-05,0.11097529578214571,-0.0011911735603937297,,,,,
parity,parity_holds,continuous,gaussian,6400,6400,0.5,640,12800,,0.9500216064453125,7.613124215317058e-05,0.09808005329664714,-0.00026995281557278076,,,,,
parity,parity_holds,continuous,cornish_fisher,6400,6400,0.5,640,12800,,0.9500323486328125,7.612349038941093e-05,0.09808005329664712,-0.00026995281557278076,,,,,
parity,parity_holds,continuous,calibrated,6400,6400,0.5,640,12800,,0.9503197021484375,7.591576805880846e-05,0.09808785002605849,-0.00026995281557278076,,,,,
parity,parity_fails,continuous,gaussian,200,200,0.7,640,12800,,0.9426307373046875,8.124852041404373e-05,2.028778989486769,0.2882888509416248,,,,,
parity,parity_fails,continuous,cornish_fisher,200,200,0.7,640,12800,,0.93256005859375,8.761975322910436e-05,2.028778989486769,0.2882888509416248,,,,,
parity,parity_fails,continuous,calibrated,200,200,0.7,640,12800,,0.94996240234375,7.617394746943557e-05,2.0163720416259325,0.2882888509416248,,,,,
parity,parity_fails,continuous,gaussian,400,400,0.7,640,12800,,0.94446240234375,8.001859288855355e-05,1.4813725115868852,0.2848696130349071,,,,,
parity,parity_fails,continuous,cornish_fisher,400,400,0.7,640,12800,,0.936036865234375,8.549020822706807e-05,1.4813725115868852,0.2848696130349071,,,,,
parity,parity_fails,continuous,calibrated,400,400,0.7,640,12800,,0.950004638671875,7.614348443176572e-05,1.4842519112715065,0.2848696130349071,,,,,
parity,parity_fails,continuous,gaussian,800,800,0.7,640,12800,,0.946391357421875,7.869693464079403e-05,1.0736324786747353,0.25711936237437455,,,,,
parity,parity_fails,continuous,cornish_fisher,800,800,0.7,640,12800,,0.939903564453125,8.303688202859427e-05,1.0736324786747353,0.25711936237437455,,,,,
parity,parity_fails,continuous,calibrated,800,800,0.7,640,12800,,0.9502103271484375,7.599491570493459e-05,1.0760907015369885,0.25711936237437455,,,,,
parity,parity_fails,continuous,gaussian,1200,1200,0.7,640,12800,,0.947378662109375,7.800954960918399e-05,0.8984079461474769,0.23992912753014156,,,,,
parity,parity_fails,continuous,cornish_fisher,1200,1200,0.7,640,12800,,0.9419112548828125,8.172520499713343e-05,0.8984079461474768,0.23992912753014156,,,,,
parity,parity_fails,continuous,calibrated,1200,1200,0.7,640,12800,,0.9499664306640625,7.617104268410933e-05,0.8977053555061544,0.23992912753014156,,,,,
parity,parity_fails,continuous,gaussian,1600,1600,0.7,640,12800,,0.9472994384765625,7.806498658919301e-05,0.7628470006554573,0.22942252251448592,,,,,
parity,parity_fails,continuous,cornish_fisher,1600,1600,0.7,640,12800,,0.942599365234375,8.126938012117068e-05,0.7628470006554573,0.22942252251448592,,,,,
parity,parity_fails,continuous,calibrated,1600,1600,0.7,640,12800,,0.950122802734375,7.605817833423525e-05,0.7668062220261571,0.22942252251448592,,,,,
parity,parity_fails,continuous,gaussian,2000,2000,0.7,640,12800,,0.9479554443359375,7.760445321257005e-05,0.6922836755385867,0.21840694522416298,,,,,
parity,parity_fails,continuous,cornish_fisher,2000,2000,0.7,640,12800,,0.9436123046875,8.059238312643829e-05,0.6922836755385867,0.21840694522416298,,,,,
parity,parity_fails,continuous,calibrated,2000,2000,0.7,640,12800,,0.9502252197265625,7.598414488366776e-05,0.693760535589211,0.21840694522416298,,,,,
parity,parity_fails,continuous,gaussian,2400,2400,0.7,640,12800,,0.9479508056640625,7.760772165237755e-05,0.63408964586856,0.20720311643781292,,,,,
parity,parity_fails,continuous,cornish_fisher,2400,2400,0.7,640,12800,,0.9441915283203125,8.020198969741307e-05,0.63408964586856,0.20720311643781292,,,,,
parity,parity_fails,continuous,calibrated,2400,2400,0.7,640,12800,,0.950152587890625,7.6036656917805e-05,0.6359620353464862,0.20720311643781292,,,,,
parity,parity_fails,continuous,gaussian,3200,3200,0.7,640,12800,,0.94855859375,7.717800103891716e-05,0.5533299500115064,0.1964254417078844,,,,,
parity,parity_fails,continuous,cornish_fisher,3200,3200,0.7,640,12800,,0.9452130126953125,7.950758897694723e-05,0.5533299500115064,0.1964254417078844,,,,,
parity,parity_fails,continuous,calibrated,3200,3200,0.7,640,12800,,0.9501536865234375,7.603586295134496e-05,0.5548660740236279,0.1964254417078844,,,,,
parity,parity_fails,continuous,gaussian,4000,4000,0.7,640,12800,,0.9486817626953125,7.709055449193145e-05,0.49289627553100474,0.18118562802738764,,,,,
parity,parity_fails,continuous,cornish_fisher,4000,4000,0.7,640,12800,,0.94577587890625,7.912166278982635e-05,0.49289627553100474,0.18118562802738764,,,,,
