module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
skew_rate_diag,f=0.50,continuous,gaussian,6400,6400,0.5,8,20000,,0.960725,0.0004856212153970929,0.12009086508820532,-0.014813957588479426,0.0010847066671891281,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,6400,6400,0.5,8,20000,,0.96065,0.00048606569450538266,0.12009086508820532,-0.014813957588479426,0.0010847066671891281,,,,
skew_rate_diag,f=0.50,continuous,calibrated,6400,6400,0.5,8,20000,,0.949125,0.0005493560683598116,0.10924103104119294,-0.014813957588479426,0.0010847066671891281,,,,
skew_rate_diag,f=0.25,continuous,gaussian,6400,6400,0.25,8,20000,,0.95093125,0.0005400289793927584,0.14974367155977664,-0.043580040193686116,0.00047311330544869135,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,6400,6400,0.25,8,20000,,0.95,0.0005448623679425844,0.14974367155977664,-0.043580040193686116,0.00047311330544869135,,,,
skew_rate_diag,f=0.25,continuous,calibrated,6400,6400,0.25,8,20000,,0.9502125,0.0005437641081143895,0.1421727110992197,-0.043580040193686116,0.00047311330544869135,,,,
skew_rate_diag,f=0.20,continuous,gaussian,6400,6400,0.2,8,20000,,0.9462875,0.0005636236961825131,0.16431945119530825,-0.03732557593801794,0.012481376565683044,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,6400,6400,0.2,8,20000,,0.9469375,0.0005603953464617078,0.16431945119530825,-0.03732557593801794,0.012481376565683044,,,,
skew_rate_diag,f=0.20,continuous,calibrated,6400,6400,0.2,8,20000,,0.95109375,0.0005391800992649484,0.15717755697566538,-0.03732557593801794,0.012481376565683044,,,,
skew_rate_diag,f=0.50,continuous,gaussian,8000,8000,0.5,8,20000,,0.94138125,0.000587274382999748,0.10703350195949263,-0.012798472007400382,0.022959399098709032,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,8000,8000,0.5,8,20000,,0.940625,0.0005908130487673319,0.10703350195949263,-0.012798472007400382,0.022959399098709032,,,,
skew_rate_diag,f=0.50,continuous,calibrated,8000,8000,0.5,8,20000,,0.94986875,0.0005455393419213541,0.09793829945362537,-0.012798472007400382,0.022959399098709032,,,,
skew_rate_diag,f=0.25,continuous,gaussian,8000,8000,0.25,8,20000,,0.94149375,0.0005867456258408403,0.13372890730628006,-0.009734554191179062,0.004596380372809683,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,8000,8000,0.25,8,20000,,0.9409125,0.0005894709881736651,0.13372890730628004,-0.009734554191179062,0.004596380372809683,,,,
skew_rate_diag,f=0.25,continuous,calibrated,8000,8000,0.25,8,20000,,0.95024375,0.000543602368383462,0.12669820222561096,-0.009734554191179062,0.004596380372809683,,,,
skew_rate_diag,f=0.20,continuous,gaussian,8000,8000,0.2,8,20000,,0.95415625,0.000522865306424235,0.14706000240533526,-0.020364946066604234,0.0006630460358599821,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,8000,8000,0.2,8,20000,,0.954525,0.0005208588122934566,0.14706000240533523,-0.020364946066604234,0.0006630460358599821,,,,
skew_rate_diag,f=0.20,continuous,calibrated,8000,8000,0.2,8,20000,,0.94995,0.0005451203852132117,0.14046597539193498,-0.020364946066604234,0.0006630460358599821,,,,
skew_rate_diag,f=0.50,continuous,gaussian,10000,10000,0.5,8,20000,,0.94635625,0.000563283332823819,0.09578767446961559,-0.0016624782669128284,0.011394540175580836,,,,
