module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
skew_rate_diag,f=0.50,continuous,gaussian,6400,6400,0.5,8,20000,,0.9514875,0.0005371163592727718,0.20002926162543033,-0.04425556075470927,-0.008079977939243421,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,6400,6400,0.5,8,20000,,0.95183125,0.0005353066966903031,0.20002926162543036,-0.04425556075470927,-0.008079977939243421,,,,
skew_rate_diag,f=0.50,continuous,calibrated,6400,6400,0.5,8,20000,,0.9498125,0.0005458291562141379,0.15754370685076916,-0.04425556075470927,-0.008079977939243421,,,,
skew_rate_diag,f=0.25,continuous,gaussian,6400,6400,0.25,8,20000,,0.95653125,0.0005097745688870562,0.2671977998962929,-0.04749701731991854,0.028377480588930304,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,6400,6400,0.25,8,20000,,0.95509375,0.0005177455861167332,0.26719779989629294,-0.04749701731991854,0.028377480588930304,,,,
skew_rate_diag,f=0.25,continuous,calibrated,6400,6400,0.25,8,20000,,0.9508375,0.0005405179726067742,0.23979712017889018,-0.04749701731991854,0.028377480588930304,,,,
skew_rate_diag,f=0.20,continuous,gaussian,6400,6400,0.2,8,20000,,0.91075,0.0007127606431159062,0.29703488216950447,-0.07508834969433781,0.04632289532504352,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,6400,6400,0.2,8,20000,,0.91034375,0.0007142216341757013,0.29703488216950447,-0.07508834969433781,0.04632289532504352,,,,
skew_rate_diag,f=0.20,continuous,calibrated,6400,6400,0.2,8,20000,,0.94693125,0.0005604264992699617,0.27021628075894155,-0.07508834969433781,0.04632289532504352,,,,
skew_rate_diag,f=0.50,continuous,gaussian,8000,8000,0.5,8,20000,,0.9400625,0.0005934275234482618,0.1767336930424174,-0.019070532901287195,0.00802635688921094,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,8000,8000,0.5,8,20000,,0.93905625,0.0005980677706996166,0.1767336930424174,-0.019070532901287195,0.00802635688921094,,,,
skew_rate_diag,f=0.50,continuous,calibrated,8000,8000,0.5,8,20000,,0.94941875,0.0005478525528622957,0.13943645937011387,-0.019070532901287195,0.00802635688921094,,,,
skew_rate_diag,f=0.25,continuous,gaussian,8000,8000,0.25,8,20000,,0.9441875,0.0005738982098538361,0.24111113734357265,-0.05483092319941087,0.008325689957596083,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,8000,8000,0.25,8,20000,,0.94441875,0.0005727781783140263,0.2411111373435726,-0.05483092319941087,0.008325689957596083,,,,
skew_rate_diag,f=0.25,continuous,calibrated,8000,8000,0.25,8,20000,,0.9510375,0.0005394741281664373,0.21559265695029986,-0.05483092319941087,0.008325689957596083,,,,
skew_rate_diag,f=0.20,continuous,gaussian,8000,8000,0.2,8,20000,,0.95811875,0.000500794436985111,0.2678403130693183,-0.0715366744096362,-0.006240556629336758,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,8000,8000,0.2,8,20000,,0.95901875,0.0004956169586260484,0.2678403130693183,-0.0715366744096362,-0.006240556629336758,,,,
skew_rate_diag,f=0.20,continuous,calibrated,8000,8000,0.2,8,20000,,0.94889375,0.0005505361092320462,0.24275459602621655,-0.0715366744096362,-0.006240556629336758,,,,
skew_rate_diag,f=0.50,continuous,gaussian,10000,10000,0.5,8,20000,,0.88656875,0.0007927980572134901,0.15811167529783374,-0.0402198880976491,-0.023952192241053827,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,10000,10000,0.5,8,20000,,0.88306875,0.0008033458656357078,0.15811167529783374,-0.0402198880976491,-0.023952192241053827,,,,
skew_rate_diag,f=0.50,continuous,calibrated,10000,10000,0.5,8,20000,,0.94989375,0.0005454104744991239,0.12541028591528708,-0.0402198880976491,-0.023952192241053827,,,,
skew_rate_diag,f=0.25,continuous,gaussian,10000,10000,0.25,8,20000,,0.92793125,0.000646504279149786,0.21639163619673724,-0.05740263292821406,0.040306965124177196,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,10000,10000,0.25,8,20000,,0.92935,0.0006405982433436733,0.21639163619673724,-0.05740263292821406,0.040306965124177196,,,,
skew_rate_diag,f=0.25,continuous,calibrated,10000,10000,0.25,8,20000,,0.94980625,0.0005458613460677167,0.19242041245918926,-0.05740263292821406,0.040306965124177196,,,,
skew_rate_diag,f=0.20,continuous,gaussian,10000,10000,0.2,8,20000,,0.94646875,0.0005627258173026937,0.24160672473902428,-0.07646004907472935,-0.027758022420707018,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,10000,10000,0.2,8,20000,,0.94853125,0.0005523796122993536,0.24160672473902423,-0.07646004907472935,-0.027758022420707018,,,,
skew_rate_diag,f=0.20,continuous,calibrated,10000,10000,0.2,8,20000,,0.94988125,0.0005454749129109737,0.21977992424750442,-0.07646004907472935,-0.027758022420707018,,,,
skew_rate_diag,f=0.50,continuous,gaussian,12800,12800,0.5,8,20000,,0.94391875,0.0005751963979722354,0.14037978742603965,-0.029407238052262516,0.03553501079449212,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,12800,12800,0.5,8,20000,,0.9453125,0.0005684231332365331,0.14037978742603965,-0.029407238052262516,0.03553501079449212,,,,
skew_rate_diag,f=0.50,continuous,calibrated,12800,12800,0.5,8,20000,,0.9516125,0.0005364591657558268,0.11150152932879864,-0.029407238052262516,0.03553501079449212,,,,
skew_rate_diag,f=0.25,continuous,gaussian,12800,12800,0.25,8,20000,,0.96355,0.0004685175923858142,0.19173420095005478,-0.04611424779451709,0.028459652402039126,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,12800,12800,0.25,8,20000,,0.9639625,0.0004659586797248627,0.19173420095005475,-0.04611424779451709,0.028459652402039126,,,,
skew_rate_diag,f=0.25,continuous,calibrated,12800,12800,0.25,8,20000,,0.95085,0.0005404528049469261,0.171110221181138,-0.04611424779451709,0.028459652402039126,,,,
skew_rate_diag,f=0.20,continuous,gaussian,12800,12800,0.2,8,20000,,0.9535125,0.0005263459671626995,0.21229222869385303,-0.06496147690644173,0.027586762434080037,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,12800,12800,0.2,8,20000,,0.9544875,0.0005210632899643164,0.21229222869385303,-0.06496147690644173,0.027586762434080037,,,,
skew_rate_diag,f=0.20,continuous,calibrated,12800,12800,0.2,8,20000,,0.9494375,0.0005477564102417581,0.19327963018207406,-0.06496147690644173,0.027586762434080037,,,,
skew_rate_diag,f=0.50,continuous,gaussian,16000,16000,0.5,8,20000,,0.96575,0.00045467665365070154,0.1254942124571243,-0.031945184523562854,0.0021547279868602276,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,16000,16000,0.5,8,20000,,0.96600625,0.000453032662736209,0.1254942124571243,-0.031945184523562854,0.0021547279868602276,,,,
skew_rate_diag,f=0.50,continuous,calibrated,16000,16000,0.5,8,20000,,0.95034375,0.0005430844020266178,0.09921293934278158,-0.031945184523562854,0.0021547279868602276,,,,
skew_rate_diag,f=0.25,continuous,gaussian,16000,16000,0.25,8,20000,,0.96031875,0.0004880231065126265,0.17046184905104467,-0.03799362200088252,-0.022893093179227053,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,16000,16000,0.25,8,20000,,0.9606125,0.00048628775459951445,0.1704618490510447,-0.03799362200088252,-0.022893093179227053,,,,
skew_rate_diag,f=0.25,continuous,calibrated,16000,16000,0.25,8,20000,,0.9504875,0.0005423387568194231,0.15199441277042391,-0.03799362200088252,-0.022893093179227053,,,,
skew_rate_diag,f=0.20,continuous,gaussian,16000,16000,0.2,8,20000,,0.95480625,0.0005193221240288724,0.18916419776165852,-0.06392380917168035,-0.003961002009104153,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,16000,16000,0.2,8,20000,,0.95508125,0.000517814251798108,0.18916419776165852,-0.06392380917168035,-0.003961002009104153,,,,
skew_rate_diag,f=0.20,continuous,calibrated,16000,16000,0.2,8,20000,,0.95043125,0.0005426306813998676,0.17326173825949184,-0.06392380917168035,-0.003961002009104153,,,,
