module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
skew_rate_diag,f=0.50,continuous,gaussian,6400,6400,0.5,8,20000,,0.961275,0.0004823469600233322,0.1485889604297635,-0.02406471639641844,0.02754625516054371,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,6400,6400,0.5,8,20000,,0.961425,0.0004814494351370143,0.1485889604297635,-0.02406471639641844,0.02754625516054371,,,,
skew_rate_diag,f=0.50,continuous,calibrated,6400,6400,0.5,8,20000,,0.95138125,0.000537674199378894,0.12679582223467445,-0.02406471639641844,0.02754625516054371,,,,
skew_rate_diag,f=0.25,continuous,gaussian,6400,6400,0.25,8,20000,,0.94725625,0.0005588036710013717,0.19329143750333957,-0.04569360885256486,0.0039327503741393155,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,6400,6400,0.25,8,20000,,0.94545,0.0005677493807790545,0.19329143750333957,-0.04569360885256486,0.0039327503741393155,,,,
skew_rate_diag,f=0.25,continuous,calibrated,6400,6400,0.25,8,20000,,0.94944375,0.0005477243580598814,0.1777081688934692,-0.04569360885256486,0.0039327503741393155,,,,
skew_rate_diag,f=0.20,continuous,gaussian,6400,6400,0.2,8,20000,,0.95394375,0.0005240173651460508,0.21481688014454609,-0.033655381114233995,-0.01287269592297341,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,6400,6400,0.2,8,20000,,0.95415,0.0005228992344371903,0.2148168801445461,-0.033655381114233995,-0.01287269592297341,,,,
skew_rate_diag,f=0.20,continuous,calibrated,6400,6400,0.2,8,20000,,0.94744375,0.0005578647382315082,0.19807416931837396,-0.033655381114233995,-0.01287269592297341,,,,
skew_rate_diag,f=0.50,continuous,gaussian,8000,8000,0.5,8,20000,,0.96830625,0.0004379587324376113,0.13151534397832404,-0.03607357736314487,-0.010927213129751645,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,8000,8000,0.5,8,20000,,0.96829375,0.0004380422618804716,0.13151534397832407,-0.03607357736314487,-0.010927213129751645,,,,
skew_rate_diag,f=0.50,continuous,calibrated,8000,8000,0.5,8,20000,,0.94884375,0.0005507908410069193,0.11105213812462168,-0.03607357736314487,-0.010927213129751645,,,,
skew_rate_diag,f=0.25,continuous,gaussian,8000,8000,0.25,8,20000,,0.96436875,0.00046342248558576047,0.17340534290189527,-0.06803063154014952,0.047385619404880175,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,8000,8000,0.25,8,20000,,0.964675,0.0004614998941969005,0.17340534290189527,-0.06803063154014952,0.047385619404880175,,,,
skew_rate_diag,f=0.25,continuous,calibrated,8000,8000,0.25,8,20000,,0.9516625,0.0005361960118146513,0.15908602723546142,-0.06803063154014952,0.047385619404880175,,,,
skew_rate_diag,f=0.20,continuous,gaussian,8000,8000,0.2,8,20000,,0.95164375,0.0005362947130889034,0.19075806805365408,-0.052524260197728614,0.0011049658123085115,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,8000,8000,0.2,8,20000,,0.95205,0.0005341511811977956,0.19075806805365408,-0.052524260197728614,0.0011049658123085115,,,,
skew_rate_diag,f=0.20,continuous,calibrated,8000,8000,0.2,8,20000,,0.95074375,0.0005410064223044024,0.17750859802828112,-0.052524260197728614,0.0011049658123085115,,,,
skew_rate_diag,f=0.50,continuous,gaussian,10000,10000,0.5,8,20000,,0.946075,0.0005646741005604472,0.11774945630730306,-0.027510550923889137,0.012944889780923174,,,,
