module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
skew_rate_diag,f=0.50,continuous,gaussian,200,200,0.5,10,40000,,0.8619225,0.0005454633443086483,0.9834517114586833,-0.14325517840909427,0.11683906710842074,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,200,200,0.5,10,40000,,0.85823,0.0005515234970062472,0.9834517114586833,-0.14325517840909427,0.11683906710842074,,,,
skew_rate_diag,f=0.50,continuous,calibrated,200,200,0.5,10,40000,,0.9495075,0.0003462044462588185,0.809426762332103,-0.14325517840909427,0.11683906710842074,,,,
skew_rate_diag,f=0.25,continuous,gaussian,200,200,0.25,10,40000,,0.9364225,0.00038579593535232443,1.2341697924521366,-0.21457104732083074,0.17736137719187903,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,200,200,0.25,10,40000,,0.9298825,0.0004037357929195467,1.2341697924521366,-0.21457104732083074,0.17736137719187903,,,,
skew_rate_diag,f=0.25,continuous,calibrated,200,200,0.25,10,40000,,0.94964,0.0003457740244726314,1.1566626257343895,-0.21457104732083074,0.17736137719187903,,,,
skew_rate_diag,f=0.20,continuous,gaussian,200,200,0.2,10,40000,,0.9465,0.00035580103288214323,1.4205305433150324,-0.22341400651297336,0.2703229643298085,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,200,200,0.2,10,40000,,0.9494625,0.0003463504767347304,1.420530543315032,-0.22341400651297336,0.2703229643298085,,,,
skew_rate_diag,f=0.20,continuous,calibrated,200,200,0.2,10,40000,,0.949725,0.00034549755561725745,1.3402455872338472,-0.22341400651297336,0.2703229643298085,,,,
skew_rate_diag,f=0.50,continuous,gaussian,400,400,0.5,10,40000,,0.9518025,0.00033865358773291476,0.6658668627395768,-0.07317961590224917,0.045567040582627706,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,400,400,0.5,10,40000,,0.950525,0.0003428819927285481,0.6658668627395768,-0.07317961590224917,0.045567040582627706,,,,
skew_rate_diag,f=0.50,continuous,calibrated,400,400,0.5,10,40000,,0.9507375,0.00034218308730031495,0.5514748526089426,-0.07317961590224917,0.045567040582627706,,,,
skew_rate_diag,f=0.25,continuous,gaussian,400,400,0.25,10,40000,,0.94648,0.00035586377168798743,0.9264982429666949,-0.16175919668659433,0.09626221117037304,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,400,400,0.25,10,40000,,0.947445,0.0003528206767431581,0.9264982429666949,-0.16175919668659433,0.09626221117037304,,,,
skew_rate_diag,f=0.25,continuous,calibrated,400,400,0.25,10,40000,,0.94999,0.0003446338633245433,0.8443753705387899,-0.16175919668659433,0.09626221117037304,,,,
skew_rate_diag,f=0.20,continuous,gaussian,400,400,0.2,10,40000,,0.9487725,0.00034858013154707334,0.9778711933164521,-0.17547302744022159,0.14252466124010002,,,,
