module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
skew_rate_diag,f=0.50,continuous,gaussian,400,400,0.5,8,20000,,0.9468625,0.0005607690372033188,0.48545803656493597,-0.045928017673520276,0.02015566880091524,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,400,400,0.5,8,20000,,0.94603125,0.0005648900558042108,0.48545803656493597,-0.045928017673520276,0.02015566880091524,,,,
skew_rate_diag,f=0.50,continuous,calibrated,400,400,0.5,8,20000,,0.95065625,0.0005414618196139128,0.4453368076107386,-0.045928017673520276,0.02015566880091524,,,,
skew_rate_diag,f=0.25,continuous,gaussian,400,400,0.25,8,20000,,0.92354375,0.0006643168099443287,0.585273832551157,-0.09057405940829467,0.0945574214309372,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,400,400,0.25,8,20000,,0.9226125,0.0006680132616748247,0.585273832551157,-0.09057405940829467,0.0945574214309372,,,,
skew_rate_diag,f=0.25,continuous,calibrated,400,400,0.25,8,20000,,0.95081875,0.0005406157059804442,0.5645705612709656,-0.09057405940829467,0.0945574214309372,,,,
skew_rate_diag,f=0.20,continuous,gaussian,400,400,0.2,8,20000,,0.94941875,0.0005478525528622957,0.6629270766853393,-0.11444695119786803,0.07345599196133795,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,400,400,0.2,8,20000,,0.9504875,0.0005423387568194231,0.6629270766853393,-0.11444695119786803,0.07345599196133795,,,,
skew_rate_diag,f=0.20,continuous,calibrated,400,400,0.2,8,20000,,0.95094375,0.000539963739152556,0.6431629729899457,-0.11444695119786803,0.07345599196133795,,,,
skew_rate_diag,f=0.50,continuous,gaussian,800,800,0.5,8,20000,,0.95816875,0.000500508469730018,0.3396515138216139,-0.04621839073072624,0.05049957356730472,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,800,800,0.5,8,20000,,0.95800625,0.000501437153096836,0.33965151382161396,-0.04621839073072624,0.05049957356730472,,,,
skew_rate_diag,f=0.50,continuous,calibrated,800,800,0.5,8,20000,,0.951075,0.0005392781307857292,0.31124726751242787,-0.04621839073072624,0.05049957356730472,,,,
skew_rate_diag,f=0.25,continuous,gaussian,800,800,0.25,8,20000,,0.94980625,0.0005458613460677167,0.41945377940416045,-0.07628753246252151,0.06806947765066645,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,800,800,0.25,8,20000,,0.95035,0.0005430520089043035,0.41945377940416045,-0.07628753246252151,0.06806947765066645,,,,
skew_rate_diag,f=0.25,continuous,calibrated,800,800,0.25,8,20000,,0.95066875,0.0005413967917193309,0.399388774559895,-0.07628753246252151,0.06806947765066645,,,,
skew_rate_diag,f=0.20,continuous,gaussian,800,800,0.2,8,20000,,0.955225,0.0005170239318385079,0.47162357362868934,-0.10000488696478739,0.02350512253443149,,,,
