module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
skew_rate_diag,f=0.50,continuous,gaussian,400,400,0.5,8,20000,,0.939775,0.0005947580882961995,0.4504786293492872,0.0020644778371946663,-0.026296429656553433,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,400,400,0.5,8,20000,,0.93920625,0.0005973790147434535,0.4504786293492872,0.0020644778371946663,-0.026296429656553433,,,,
skew_rate_diag,f=0.50,continuous,calibrated,400,400,0.5,8,20000,,0.94963125,0.0005467617112568182,0.42632215113908506,0.0020644778371946663,-0.026296429656553433,,,,
skew_rate_diag,f=0.25,continuous,gaussian,400,400,0.25,8,20000,,0.94099375,0.0005890909971140788,0.5457104271566156,0.01483036412953366,0.03658863100357351,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,400,400,0.25,8,20000,,0.94104375,0.0005888569997564006,0.5457104271566156,0.01483036412953366,0.03658863100357351,,,,
skew_rate_diag,f=0.25,continuous,calibrated,400,400,0.25,8,20000,,0.951475,0.0005371820244049034,0.5327258218489671,0.01483036412953366,0.03658863100357351,,,,
skew_rate_diag,f=0.20,continuous,gaussian,400,400,0.2,8,20000,,0.94923125,0.0005488128325271599,0.6049439003593827,-0.04248291589568289,0.06994530949081934,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,400,400,0.2,8,20000,,0.94839375,0.0005530768762169136,0.6049439003593827,-0.04248291589568289,0.06994530949081934,,,,
skew_rate_diag,f=0.20,continuous,calibrated,400,400,0.2,8,20000,,0.949925,0.0005452493373161951,0.5940502273219194,-0.04248291589568289,0.06994530949081934,,,,
skew_rate_diag,f=0.50,continuous,gaussian,800,800,0.5,8,20000,,0.94655625,0.0005622917146927469,0.3182407044390482,0.00878304323964169,0.017542443681730913,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,800,800,0.5,8,20000,,0.94710625,0.0005595534001043682,0.3182407044390483,0.00878304323964169,0.017542443681730913,,,,
skew_rate_diag,f=0.50,continuous,calibrated,800,800,0.5,8,20000,,0.950725,0.0005411040471515157,0.29981929140234254,0.00878304323964169,0.017542443681730913,,,,
skew_rate_diag,f=0.25,continuous,gaussian,800,800,0.25,8,20000,,0.95401875,0.0005236111071708986,0.38953370298063456,-0.017243913131079786,0.06601376737056175,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,800,800,0.25,8,20000,,0.95398125,0.0005238142839334704,0.38953370298063456,-0.017243913131079786,0.06601376737056175,,,,
skew_rate_diag,f=0.25,continuous,calibrated,800,800,0.25,8,20000,,0.95073125,0.0005410715079441757,0.3754457491140024,-0.017243913131079786,0.06601376737056175,,,,
skew_rate_diag,f=0.20,continuous,gaussian,800,800,0.2,8,20000,,0.9485125,0.0005524747581550107,0.4261529892619628,-0.009863771500866347,0.06158587933539211,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,800,800,0.2,8,20000,,0.9487625,0.0005512044686057414,0.4261529892619628,-0.009863771500866347,0.06158587933539211,,,,
skew_rate_diag,f=0.20,continuous,calibrated,800,800,0.2,8,20000,,0.95015625,0.0005440550901904229,0.41541259704630784,-0.009863771500866347,0.06158587933539211,,,,
skew_rate_diag,f=0.50,continuous,gaussian,1600,1600,0.5,8,20000,,0.92466875,0.0006598127233041085,0.22463703022899012,-0.019330554801958187,-0.002235225589115042,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,1600,1600,0.5,8,20000,,0.92448125,0.000660566368724774,0.22463703022899012,-0.019330554801958187,-0.002235225589115042,,,,
skew_rate_diag,f=0.50,continuous,calibrated,1600,1600,0.5,8,20000,,0.9511125,0.0005390820458412961,0.21118919573303455,-0.019330554801958187,-0.002235225589115042,,,,
skew_rate_diag,f=0.25,continuous,gaussian,1600,1600,0.25,8,20000,,0.951525,0.0005369193047784278,0.27518932481027,-0.009918223646123485,-0.012903886919091057,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,1600,1600,0.25,8,20000,,0.95160625,0.00053649204887478,0.27518932481027,-0.009918223646123485,-0.012903886919091057,,,,
skew_rate_diag,f=0.25,continuous,calibrated,1600,1600,0.25,8,20000,,0.9499625,0.0005450558950336537,0.2638272687003037,-0.009918223646123485,-0.012903886919091057,,,,
skew_rate_diag,f=0.20,continuous,gaussian,1600,1600,0.2,8,20000,,0.94731875,0.0005584909125180413,0.3004460274039042,-0.02813878294406248,-0.02832177076777742,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,1600,1600,0.2,8,20000,,0.94758125,0.00055717493128526,0.3004460274039042,-0.02813878294406248,-0.02832177076777742,,,,
skew_rate_diag,f=0.20,continuous,calibrated,1600,1600,0.2,8,20000,,0.9509375,0.0005399963604839736,0.2918222673719241,-0.02813878294406248,-0.02832177076777742,,,,
skew_rate_diag,f=0.50,continuous,gaussian,3200,3200,0.5,8,20000,,0.95825625,0.0005000075582924814,0.1595301284768671,0.0009368518188425939,-0.00805804577839836,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,3200,3200,0.5,8,20000,,0.95845625,0.000498860368965715,0.15953012847686707,0.0009368518188425939,-0.00805804577839836,,,,
skew_rate_diag,f=0.50,continuous,calibrated,3200,3200,0.5,8,20000,,0.95000625,0.000544830105175787,0.1495549584806822,0.0009368518188425939,-0.00805804577839836,,,,
skew_rate_diag,f=0.25,continuous,gaussian,3200,3200,0.25,8,20000,,0.9501625,0.000544022768329541,0.19472031541834095,-0.01909762320949197,0.007469127076893178,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,3200,3200,0.25,8,20000,,0.9500875,0.0005444104744110253,0.19472031541834095,-0.01909762320949197,0.007469127076893178,,,,
skew_rate_diag,f=0.25,continuous,calibrated,3200,3200,0.25,8,20000,,0.949775,0.0005460222601632188,0.18695068727025668,-0.01909762320949197,0.007469127076893178,,,,
skew_rate_diag,f=0.20,continuous,gaussian,3200,3200,0.2,8,20000,,0.9502875,0.0005433758330091961,0.21265446833284796,-0.026821998689902253,-0.012176270687123736,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,3200,3200,0.2,8,20000,,0.94999375,0.0005448946283510781,0.21265446833284796,-0.026821998689902253,-0.012176270687123736,,,,
skew_rate_diag,f=0.20,continuous,calibrated,3200,3200,0.2,8,20000,,0.94729375,0.000558616042168822,0.2039661183274388,-0.026821998689902253,-0.012176270687123736,,,,
skew_rate_diag,f=0.50,continuous,gaussian,6400,6400,0.5,8,20000,,0.95243125,0.0005321299419751576,0.11234335169321726,-0.0045038387661928666,-0.031815419726020644,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,6400,6400,0.5,8,20000,,0.95189375,0.0005349768611289272,0.11234335169321726,-0.0045038387661928666,-0.031815419726020644,,,,
skew_rate_diag,f=0.50,continuous,calibrated,6400,6400,0.5,8,20000,,0.9512125,0.0005385587238393205,0.10561886613269085,-0.0045038387661928666,-0.031815419726020644,,,,
skew_rate_diag,f=0.25,continuous,gaussian,6400,6400,0.25,8,20000,,0.948825,0.0005508863277426205,0.1377113513974721,0.002061968502425391,0.021668054308810858,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,6400,6400,0.25,8,20000,,0.9491375,0.0005492921928135678,0.1377113513974721,0.002061968502425391,0.021668054308810858,,,,
skew_rate_diag,f=0.25,continuous,calibrated,6400,6400,0.25,8,20000,,0.949525,0.0005473074682879362,0.13187109765499774,0.002061968502425391,0.021668054308810858,,,,
skew_rate_diag,f=0.20,continuous,gaussian,6400,6400,0.2,8,20000,,0.95371875,0.0005252338520747065,0.15118608204965422,-0.006835979727536974,-0.020262803983578936,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,6400,6400,0.2,8,20000,,0.95330625,0.0005274552333547931,0.15118608204965422,-0.006835979727536974,-0.020262803983578936,,,,
skew_rate_diag,f=0.20,continuous,calibrated,6400,6400,0.2,8,20000,,0.94898125,0.0005500899764381591,0.14541430592521806,-0.006835979727536974,-0.020262803983578936,,,,
skew_rate_diag,f=0.50,continuous,gaussian,12800,12800,0.5,8,20000,,0.950475,0.0005424036456770458,0.07958545308150644,0.0070905784353220876,0.03454973121346766,,,,
skew_rate_diag,f=0.50,continuous,cornish_fisher,12800,12800,0.5,8,20000,,0.951075,0.0005392781307857292,0.07958545308150644,0.0070905784353220876,0.03454973121346766,,,,
skew_rate_diag,f=0.50,continuous,calibrated,12800,12800,0.5,8,20000,,0.9499125,0.000545313799246303,0.0747667580045772,0.0070905784353220876,0.03454973121346766,,,,
skew_rate_diag,f=0.25,continuous,gaussian,12800,12800,0.25,8,20000,,0.9505375,0.0005420791056994701,0.0972873400360732,-0.0006358039337919525,0.003297443929790922,,,,
skew_rate_diag,f=0.25,continuous,cornish_fisher,12800,12800,0.25,8,20000,,0.95069375,0.0005412667070801227,0.0972873400360732,-0.0006358039337919525,0.003297443929790922,,,,
skew_rate_diag,f=0.25,continuous,calibrated,12800,12800,0.25,8,20000,,0.94966875,0.0005465689301990963,0.09318577989441958,-0.0006358039337919525,0.003297443929790922,,,,
skew_rate_diag,f=0.20,continuous,gaussian,12800,12800,0.2,8,20000,,0.95150625,0.0005370178431098536,0.10656754258497081,-0.018942698365775654,-0.017716227455701616,,,,
skew_rate_diag,f=0.20,continuous,cornish_fisher,12800,12800,0.2,8,20000,,0.95173125,0.0005358339165114356,0.10656754258497082,-0.018942698365775654,-0.017716227455701616,,,,
skew_rate_diag,f=0.20,continuous,calibrated,12800,12800,0.2,8,20000,,0.9492625,0.0005486529304450469,0.10269843061592092,-0.018942698365775654,-0.017716227455701616,,,,
