module,design,outcome,method,N,m_N,f,B,R,S,coverage,mcse,avg_length,skew,kurtosis,periodicity,lambda_N,variance_ratio,endpoint_diff
skew_symflip,plus,continuous,gaussian_one_sided,800,800,0.25,10,20000,,0.941025,0.0005267682098181324,inf,1.8028273480411552,5.666492829029645,,,,
skew_symflip,minus,continuous,gaussian_one_sided,800,800,0.25,10,20000,,0.95716,0.00045279539750311065,inf,1.8028273480411552,5.666492829029645,,,,
skew_symflip,delta,continuous,symflip_delta,800,800,0.25,10,20000,,-0.016135,0.0007125839233060473,,1.8028273480411552,5.666492829029645,,,,
skew_symflip,plus,continuous,gaussian_one_sided,1072,1072,0.25,10,20000,,0.943885,0.0005146168806743519,inf,1.65127267937913,4.901586802299133,,,,
skew_symflip,minus,continuous,gaussian_one_sided,1072,1072,0.25,10,20000,,0.955545,0.0004608619802880252,inf,1.65127267937913,4.901586802299133,,,,
skew_symflip,delta,continuous,symflip_delta,1072,1072,0.25,10,20000,,-0.01166,0.0007086414699011513,,1.65127267937913,4.901586802299133,,,,
skew_symflip,plus,continuous,gaussian_one_sided,1436,1436,0.25,10,20000,,0.94264,0.0005199511053935743,inf,1.966699326814436,9.338521610480537,,,,
skew_symflip,minus,continuous,gaussian_one_sided,1436,1436,0.25,10,20000,,0.956515,0.0004560375794548076,inf,1.966699326814436,9.338521610480537,,,,
skew_symflip,delta,continuous,symflip_delta,1436,1436,0.25,10,20000,,-0.013875,0.0007094116845666492,,1.966699326814436,9.338521610480537,,,,
skew_symflip,plus,continuous,gaussian_one_sided,1925,1925,0.24987012987012988,10,20000,,0.94494,0.0005100411571628313,inf,1.7331583688766337,5.341998546188206,,,,
skew_symflip,minus,continuous,gaussian_one_sided,1925,1925,0.24987012987012988,10,20000,,0.95509,0.0004631041562111055,inf,1.7331583688766337,5.341998546188206,,,,
skew_symflip,delta,continuous,symflip_delta,1925,1925,0.24987012987012988,10,20000,,-0.01015,0.0007066380857178029,,1.7331583688766337,5.341998546188206,,,,
skew_symflip,plus,continuous,gaussian_one_sided,2579,2579,0.25009693679720824,10,20000,,0.945455,0.0005077885533123013,inf,1.638072434303942,4.738050523323425,,,,
skew_symflip,minus,continuous,gaussian_one_sided,2579,2579,0.25009693679720824,10,20000,,0.9533,0.00047180032852892317,inf,1.638072434303942,4.738050523323425,,,,
skew_symflip,delta,continuous,symflip_delta,2579,2579,0.25009693679720824,10,20000,,-0.007845,0.000711280401440984,,1.638072434303942,4.738050523323425,,,,
skew_symflip,plus,continuous,gaussian_one_sided,3456,3456,0.25,10,20000,,0.945615,0.0005070861454181134,inf,1.7703522816642123,6.194117035891109,,,,
skew_symflip,minus,continuous,gaussian_one_sided,3456,3456,0.25,10,20000,,0.953765,0.0004695600322376257,inf,1.7703522816642123,6.194117035891109,,,,
