run_id,config,base_seed,outputs_path,plots_path,logs_path,notes
run_approved_seed20260222_hash8d9efc1b,configs/approved.toml,20260222,outputs/one_sided/run_approved_seed20260222_hash8d9efc1b,plots/one_sided/run_approved_seed20260222_hash8d9efc1b,logs/run_approved_seed20260222_hash8d9efc1b,completed
run_approved_seed20260222_hash8d9efc1b_v2,configs/approved.toml,20260222,outputs/one_sided/run_approved_seed20260222_hash8d9efc1b_v2,plots/one_sided/run_approved_seed20260222_hash8d9efc1b_v2,logs/run_approved_seed20260222_hash8d9efc1b_v2,completed
run_one_sided_highmc_seed20260222,configs/one_sided_highmc.toml,20260222,outputs/one_sided/run_one_sided_highmc_seed20260222,plots/one_sided/run_one_sided_highmc_seed20260222,logs/run_one_sided_highmc_seed20260222,completed
run_one_sided_highmc5x_seed20260222,configs/one_sided_highmc5x.toml,20260222,outputs/one_sided/run_one_sided_highmc5x_seed20260222,plots/one_sided/run_one_sided_highmc5x_seed20260222,logs/run_one_sided_highmc5x_seed20260222,completed
run_one_sided_rskew_high_subset_seed20260222,configs/one_sided_rskew_high_subset.toml,20260222,outputs/one_sided/run_one_sided_rskew_high_subset_seed20260222,plots/one_sided/run_one_sided_rskew_high_subset_seed20260222,logs/run_one_sided_rskew_high_subset_seed20260222,completed
run_one_sided_n800_highR_seed20260222,configs/one_sided_n800_highR.toml,20260222,outputs/one_sided/run_one_sided_n800_highR_seed20260222,plots/one_sided/run_one_sided_n800_highR_seed20260222,logs/run_one_sided_n800_highR_seed20260222,completed
run_one_sided_n800_highR_highB600_seed20260222,configs/one_sided_n800_highR_highB600.toml,20260222,outputs/one_sided/run_one_sided_n800_highR_highB600_seed20260222,plots/one_sided/run_one_sided_n800_highR_highB600_seed20260222,logs/run_one_sided_n800_highR_highB600_seed20260222,completed
run_objective_bayes_stage0_seed20260222,configs/objective_bayes_stage0.toml,20260222,outputs/one_sided/run_objective_bayes_stage0_seed20260222,plots/one_sided/run_objective_bayes_stage0_seed20260222,logs/run_objective_bayes_stage0_seed20260222,completed
run_objective_bayes_stage0_B50_R500_S500_seed20260222,configs/objective_bayes_stage0.toml,20260222,outputs/one_sided/run_objective_bayes_stage0_B50_R500_S500_seed20260222,plots/one_sided/run_objective_bayes_stage0_B50_R500_S500_seed20260222,logs/run_objective_bayes_stage0_B50_R500_S500_seed20260222,completed
run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,configs/objective_bayes_stage0.toml,20260222,outputs/one_sided/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,plots/one_sided/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,logs/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,completed
run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,configs/objective_bayes_stage0.toml,20260222,outputs/one_sided/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,plots/one_sided/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,logs/run_objective_bayes_stage0_B50_R500_S500_faithful_seed20260222,completed
run_objective_bayes_stage1_B30_R200_S2000_seed20260222,configs/objective_bayes_stage1.toml,20260222,outputs/one_sided/run_objective_bayes_stage1_B30_R200_S2000_seed20260222,plots/one_sided/run_objective_bayes_stage1_B30_R200_S2000_seed20260222,logs/run_objective_bayes_stage1_B30_R200_S2000_seed20260222,completed
run_objective_bayes_stage2_B30_R200_S2000_seed20260222,configs/objective_bayes_stage2.toml,20260222,outputs/one_sided/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,plots/one_sided/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,logs/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,completed
run_objective_bayes_stage2_B30_R200_S2000_seed20260222,configs/objective_bayes_stage2.toml,20260222,outputs/one_sided/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,plots/one_sided/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,logs/run_objective_bayes_stage2_B30_R200_S2000_seed20260222,completed
