run_id,config,base_seed,outputs_path,plots_path,logs_path,notes
run_parity_deterministic_highsignal_tailN_seed20260223,configs/parity_deterministic_highsignal_tailN.toml,20260222,outputs/parity_det/run_parity_deterministic_highsignal_tailN_seed20260223,plots/parity_det/run_parity_deterministic_highsignal_tailN_seed20260223,logs/run_parity_deterministic_highsignal_tailN_seed20260223,completed
run_parity_deterministic_highsignal_tailN_v2_seed20260223,configs/parity_deterministic_highsignal_tailN_v2.toml,20260222,outputs/parity_det/run_parity_deterministic_highsignal_tailN_v2_seed20260223,plots/parity_det/run_parity_deterministic_highsignal_tailN_v2_seed20260223,logs/run_parity_deterministic_highsignal_tailN_v2_seed20260223,completed
run_parity_deterministic_highsignal_tailN_v3_seed20260223,configs/parity_deterministic_highsignal_tailN_v3.toml,20260222,outputs/parity_det/run_parity_deterministic_highsignal_tailN_v3_seed20260223,plots/parity_det/run_parity_deterministic_highsignal_tailN_v3_seed20260223,logs/run_parity_deterministic_highsignal_tailN_v3_seed20260223,completed
run_parity_deterministic_periodicity_diag_v3_seed20260223_hashb7264c55,configs/parity_deterministic_periodicity_diag_v3.toml,20260223,outputs/parity_det/run_parity_deterministic_periodicity_diag_v3_seed20260223_hashb7264c55,plots/parity_det/run_parity_deterministic_periodicity_diag_v3_seed20260223_hashb7264c55,logs/run_parity_deterministic_periodicity_diag_v3_seed20260223_hashb7264c55,completed
run_parity_deterministic_periodicity_diag_v3_smooth_seed20260223_hash6cedad3c,configs/parity_deterministic_periodicity_diag_v3_smooth.toml,20260223,outputs/parity_det/run_parity_deterministic_periodicity_diag_v3_smooth_seed20260223_hash6cedad3c,plots/parity_det/run_parity_deterministic_periodicity_diag_v3_smooth_seed20260223_hash6cedad3c,logs/run_parity_deterministic_periodicity_diag_v3_smooth_seed20260223_hash6cedad3c,completed
run_parity_deterministic_periodicity_diag_v3_random_seed20260223_hasha157a417,configs/parity_deterministic_periodicity_diag_v3_random.toml,20260223,outputs/parity_det/run_parity_deterministic_periodicity_diag_v3_random_seed20260223_hasha157a417,plots/parity_det/run_parity_deterministic_periodicity_diag_v3_random_seed20260223_hasha157a417,logs/run_parity_deterministic_periodicity_diag_v3_random_seed20260223_hasha157a417,completed
run_parity_deterministic_periodicity_diag_v3_random_seed20260224_hasha157a417,configs/parity_deterministic_periodicity_diag_v3_random.toml,20260224,outputs/parity_det/run_parity_deterministic_periodicity_diag_v3_random_seed20260224_hasha157a417,plots/parity_det/run_parity_deterministic_periodicity_diag_v3_random_seed20260224_hasha157a417,logs/run_parity_deterministic_periodicity_diag_v3_random_seed20260224_hasha157a417,completed
run_parity_deterministic_periodicity_diag_v3_random_seed20260225_hasha157a417,configs/parity_deterministic_periodicity_diag_v3_random.toml,20260225,outputs/parity_det/run_parity_deterministic_periodicity_diag_v3_random_seed20260225_hasha157a417,plots/parity_det/run_parity_deterministic_periodicity_diag_v3_random_seed20260225_hasha157a417,logs/run_parity_deterministic_periodicity_diag_v3_random_seed20260225_hasha157a417,completed
run_parity_deterministic_periodicity_diag_optionA_seed20260223_hash05f7fb49,configs/parity_deterministic_periodicity_diag_optionA.toml,20260223,outputs/parity_det/run_parity_deterministic_periodicity_diag_optionA_seed20260223_hash05f7fb49,plots/parity_det/run_parity_deterministic_periodicity_diag_optionA_seed20260223_hash05f7fb49,logs/run_parity_deterministic_periodicity_diag_optionA_seed20260223_hash05f7fb49,completed
run_parity_deterministic_periodicity_diag_optionA_seed20260224_hash05f7fb49,configs/parity_deterministic_periodicity_diag_optionA.toml,20260224,outputs/parity_det/run_parity_deterministic_periodicity_diag_optionA_seed20260224_hash05f7fb49,plots/parity_det/run_parity_deterministic_periodicity_diag_optionA_seed20260224_hash05f7fb49,logs/run_parity_deterministic_periodicity_diag_optionA_seed20260224_hash05f7fb49,completed
run_parity_deterministic_periodicity_diag_optionA_seed20260225_hash05f7fb49,configs/parity_deterministic_periodicity_diag_optionA.toml,20260225,outputs/parity_det/run_parity_deterministic_periodicity_diag_optionA_seed20260225_hash05f7fb49,plots/parity_det/run_parity_deterministic_periodicity_diag_optionA_seed20260225_hash05f7fb49,logs/run_parity_deterministic_periodicity_diag_optionA_seed20260225_hash05f7fb49,completed
run_parity_deterministic_optionA_extN_seed20260223_hashde32ad7a,configs/parity_deterministic_optionA_extN.toml,20260223,outputs/parity_det/run_parity_deterministic_optionA_extN_seed20260223_hashde32ad7a,plots/parity_det/run_parity_deterministic_optionA_extN_seed20260223_hashde32ad7a,logs/run_parity_deterministic_optionA_extN_seed20260223_hashde32ad7a,completed
run_parity_deterministic_optionA_extN_seed20260224_hashde32ad7a,configs/parity_deterministic_optionA_extN.toml,20260224,outputs/parity_det/run_parity_deterministic_optionA_extN_seed20260224_hashde32ad7a,plots/parity_det/run_parity_deterministic_optionA_extN_seed20260224_hashde32ad7a,logs/run_parity_deterministic_optionA_extN_seed20260224_hashde32ad7a,completed
run_parity_deterministic_optionA_extN_seed20260225_hashde32ad7a,configs/parity_deterministic_optionA_extN.toml,20260225,outputs/parity_det/run_parity_deterministic_optionA_extN_seed20260225_hashde32ad7a,plots/parity_det/run_parity_deterministic_optionA_extN_seed20260225_hashde32ad7a,logs/run_parity_deterministic_optionA_extN_seed20260225_hashde32ad7a,completed
