method,p,scale,k,slope,slope_se
calibrated,0.5,sqrt,6,4.834822555671342,3.7923340040570532
calibrated,0.9,sqrt,6,-1.8829509047643362,5.571260896029823
cornish_fisher,0.5,sqrt,6,-1.2040455276307322,2.154050273666573
cornish_fisher,0.9,sqrt,6,0.026187260397001318,0.11719921098413971
gaussian,0.5,sqrt,6,-1.572419125787973,2.1649535012583767
gaussian,0.9,sqrt,6,0.08270483793889441,0.19359202254883945
calibrated,0.5,linear,6,5.334822555671342,3.7923340040570532
calibrated,0.9,linear,6,-1.3829509047643402,5.571260896029823
cornish_fisher,0.5,linear,6,-0.7040455276307309,2.1540502736665736
cornish_fisher,0.9,linear,6,0.5261872603970038,0.11719921098413971
gaussian,0.5,linear,6,-1.0724191257879732,2.1649535012583767
gaussian,0.9,linear,6,0.5827048379388917,0.19359202254883945
