method,p,scale,k,slope,slope_se
calibrated,0.5,sqrt,6,-10.202878381826634,4.241700154053477
calibrated,0.8,sqrt,6,2.731706562797042,7.406952152160188
calibrated,0.9,sqrt,6,-10.72007885706366,3.98039716452057
cornish_fisher,0.5,sqrt,6,-3.0560224349855107,3.8872182847804466
cornish_fisher,0.8,sqrt,6,-0.3839191760486764,0.5231766758799451
cornish_fisher,0.9,sqrt,6,0.09713914999789733,0.2470297568995566
gaussian,0.5,sqrt,6,-5.094714327917165,3.7122888348083642
gaussian,0.8,sqrt,6,-0.07936771889800516,0.9181644122889486
gaussian,0.9,sqrt,6,0.8707926087786702,0.40648052246552085
calibrated,0.5,linear,6,-9.702878381826636,4.2417001540534764
calibrated,0.8,linear,6,3.2317065627970414,7.406952152160188
calibrated,0.9,linear,6,-10.220078857063667,3.98039716452057
cornish_fisher,0.5,linear,6,-2.556022434985511,3.8872182847804466
cornish_fisher,0.8,linear,6,0.11608082395132314,0.523176675879945
cornish_fisher,0.9,linear,6,0.5971391499978953,0.24702975689955656
gaussian,0.5,linear,6,-4.594714327917167,3.7122888348083647
gaussian,0.8,linear,6,0.4206322811019949,0.9181644122889485
gaussian,0.9,linear,6,1.3707926087786708,0.40648052246552085
