p,method,coverage,coverage_error,mcse,gamma_mean
0.2,gaussian,0.9243333333333333,0.025666666666666615,0.0015268837788365145,-0.39368875454926205
0.2,cornish_fisher,0.9051333333333333,0.04486666666666661,0.00169181344738146,-0.39368875454926205
0.2,calibrated,0.9499333333333333,6.666666666665932e-05,0.0012591001489894226,-0.39368875454926205
0.225,gaussian,0.9286,0.021399999999999975,0.0014866297454309196,-0.44981911662954377
0.225,cornish_fisher,0.9068666666666667,0.043133333333333246,0.0016778906952436394,-0.44981911662954377
0.225,calibrated,0.954,0.0040000000000000036,0.0012094626906192687,-0.44981911662954377
0.25,gaussian,0.9376333333333333,0.012366666666666637,0.001396150249263495,-0.3324059771158912
0.25,cornish_fisher,0.9232666666666667,0.026733333333333276,0.0015367208474420337,-0.3324059771158912
0.25,calibrated,0.9521,0.0020999999999999908,0.0012329583664233497,-0.3324059771158912
0.27,gaussian,0.9381333333333334,0.011866666666666581,0.0013909131559545357,-0.3434693563772583
0.27,cornish_fisher,0.9248666666666666,0.02513333333333334,0.0015219320566914893,-0.3434693563772583
0.27,calibrated,0.9504,0.00040000000000006697,0.0012535262262912568,-0.3434693563772583
0.295,gaussian,0.9427666666666666,0.007233333333333314,0.0013411149452214365,-0.28608659692237487
0.295,cornish_fisher,0.9332,0.016799999999999926,0.001441501069487405,-0.28608659692237487
0.295,calibrated,0.9494666666666667,0.0005333333333332746,0.0012646437648017135,-0.28608659692237487
0.32,gaussian,0.9441333333333334,0.005866666666666576,0.001325966090846245,-0.2743541490028146
0.32,cornish_fisher,0.9347666666666666,0.015233333333333321,0.001425692177570315,-0.2743541490028146
0.32,calibrated,0.9516666666666667,0.0016666666666667052,0.0012382409865372495,-0.2743541490028146
0.345,gaussian,0.9491666666666667,0.0008333333333332416,0.0012681916989103752,-0.2634978475845213
0.345,cornish_fisher,0.9409,0.009099999999999997,0.0013614598782189658,-0.2634978475845213
0.345,calibrated,0.9516,0.0016000000000000458,0.0012390512499489276,-0.2634978475845213
0.37,gaussian,0.9483,0.0016999999999999238,0.0012783727938281537,-0.19371783320091396
0.37,cornish_fisher,0.9439,0.006099999999999994,0.0013285680261093148,-0.19371783320091396
